premise,hypothesis,label,sample_index
Lepore said he was moved to photograph the slumbering sentries after witnessing the same guard napping on three occasions .,Joey Lepore says he took photos of one guard sleeping at post three times,entailment,0
"Sharper , 38 , faces rape charges in Arizona and California and a warrant for his arrest was issued in Louisiana .",Darren Sharper has been charged in two states while another seeks his arrest,entailment,1
I am the single mother of three sons -- grown to manhood and doing just fine .,"Weldon says she 's a single mom of three flourishing young men , productive and happy",entailment,2
"In addition to 79 fatalities , some 170 passengers were injured .",The crash took the lives of 79 people and injured some 170,entailment,3
Treacherous currents took at least four lives on the Alabama Gulf Coast and led Florida officials to shut down a popular beach .,"Rip currents kill four in Alabama , close beaches in Florida",entailment,4
( CNN ) Two men have been charged with plotting attacks in Australia following a major counter-terrorism operation in Sydney .,"Two men charged with '' acts done in preparation for , or planning terrorist acts ''",entailment,5
"The boat capsized two more times before he was rescued , according to Jordan .",Louis Jordan says his sailboat capsized three times,entailment,6
"$ 500,000 will be the limit on executive salaries at companies receiving tax dollars , President Obama says .","Pay for executives at companies that take bailout money capped at $ 500,000",entailment,7
"Authorities seize 6,700 pounds of marijuana","She said 6,700 pounds of marijuana had been seized .",entailment,8
Eight suspects were arrested .,8 suspects have been arrested,entailment,9
"A billion is a thousand million , and a trillion is a thousand billion .","One billion is equal to 1,000 million ; One trillion is equal to 1,000 billion",entailment,10
The Saginaw News : Flag designer Bob Heft dies at 67,"Designer of 50-state U.S. flag dies at 67 , Michigan paper reports",entailment,11
Lincoln 's two greatest legacies -- indivisible union and irreversible emancipation -- grew organically from his Midwestern roots .,"Akhil Amar : Lincoln 's two biggest legacies , keeping union together and abolishing slavery , had Midwestern roots",entailment,12
Team captain Butt said Pakistan gave 100 percent throughout a match .,"Everyone on the team gave '' 100 percent , '' captain Salman Butt says",entailment,13
Sotomayor was easily confirmed in a 68-31 vote .,Sonia Sotomayor wins confirmation by 68-31 vote,entailment,14
"Seventy percent of the incidents '' occurred in either a commerce/business or educational environment , '' the FBI said .","70 % of the incidents took place at schools or businesses , report says",entailment,15
"2 House Democrat , Rep. Steny Hoyer of Maryland , told reporters that GOP leaders should n't expect much support for their plan .",Number two Democrat in House tells Republicans not to expect much support from them,entailment,16
"A customer 's late arrival cost her an additional $ 1,116 for her car rental .","She was charged an additional $ 1,116 for the rental because of the late pick up",entailment,17
It will mark the first time four women have been in space at one time .,Four women are aboard same spacecraft for first time,neutral,18
