sample_index,label,error_message,golden_label
89,entailment,,neutral
108,neutral,,neutral
118,neutral,,neutral
149,entailment,,entailment
99,entailment,,entailment
6,entailment,,entailment
138,neutral,,neutral
128,neutral,,neutral
2,entailment,,neutral
139,entailment,,neutral
129,entailment,,entailment
3,entailment,,entailment
88,neutral,,neutral
109,entailment,,neutral
119,neutral,,neutral
148,entailment,,entailment
98,neutral,,neutral
7,neutral,,neutral
136,neutral,,neutral
102,entailment,,entailment
15,entailment,,entailment
44,entailment,,entailment
70,entailment,,entailment
21,neutral,,neutral
83,neutral,,neutral
93,entailment,,neutral
31,entailment,,neutral
60,entailment,,entailment
54,entailment,,neutral
112,entailment,,entailment
143,neutral,,neutral
126,entailment,,entailment
106,entailment,,neutral
132,entailment,,entailment
25,neutral,,neutral
74,neutral,,neutral
87,entailment,,neutral
40,entailment,,entailment
11,neutral,,neutral
8,entailment,,entailment
50,entailment,,entailment
97,entailment,,entailment
64,entailment,,entailment
35,neutral,,neutral
122,neutral,,neutral
147,neutral,,neutral
116,entailment,,entailment
107,neutral,,neutral
133,entailment,,entailment
24,neutral,,neutral
75,entailment,,entailment
86,neutral,,neutral
41,entailment,,entailment
10,entailment,,neutral
9,entailment,,entailment
51,neutral,,neutral
96,entailment,,entailment
65,entailment,,neutral
34,entailment,,entailment
123,entailment,,entailment
146,neutral,,neutral
117,neutral,,neutral
137,neutral,,neutral
103,entailment,,neutral
14,neutral,,neutral
45,entailment,,entailment
71,neutral,,neutral
20,entailment,,neutral
82,entailment,,neutral
92,entailment,,neutral
30,neutral,,neutral
61,entailment,,entailment
55,entailment,,neutral
113,neutral,,neutral
142,entailment,,neutral
127,entailment,,entailment
104,entailment,,entailment
130,neutral,,neutral
85,entailment,,entailment
76,neutral,,neutral
27,neutral,,neutral
13,entailment,,entailment
42,entailment,,neutral
52,neutral,,neutral
37,entailment,,neutral
66,entailment,,neutral
95,neutral,,neutral
120,neutral,,neutral
114,entailment,,entailment
145,neutral,,neutral
134,neutral,,neutral
100,entailment,,entailment
46,neutral,,neutral
17,neutral,,neutral
81,entailment,,neutral
23,neutral,,neutral
72,neutral,,neutral
62,entailment,,entailment
33,entailment,,entailment
91,entailment,,entailment
56,neutral,,neutral
141,entailment,,entailment
110,entailment,,neutral
124,entailment,,entailment
135,neutral,,neutral
101,entailment,,entailment
47,entailment,,neutral
16,entailment,,entailment
80,entailment,,entailment
22,entailment,,entailment
73,entailment,,entailment
63,entailment,,entailment
32,entailment,,entailment
90,neutral,,neutral
57,neutral,,neutral
140,entailment,,entailment
111,neutral,,neutral
125,entailment,,entailment
105,entailment,,entailment
131,neutral,,neutral
84,entailment,,entailment
77,entailment,,neutral
26,entailment,,neutral
12,entailment,,entailment
43,entailment,,entailment
53,entailment,,entailment
36,entailment,,entailment
67,neutral,,neutral
94,entailment,,neutral
121,entailment,,entailment
115,neutral,,neutral
144,neutral,,neutral
19,neutral,,neutral
48,entailment,,entailment
0,neutral,,neutral
58,neutral,,neutral
29,entailment,,entailment
78,entailment,,entailment
68,entailment,,entailment
39,entailment,,neutral
4,neutral,,neutral
28,neutral,,neutral
79,neutral,,neutral
69,neutral,,neutral
38,entailment,,entailment
5,entailment,,neutral
18,neutral,,neutral
49,entailment,,entailment
1,entailment,,neutral
59,entailment,,entailment
159,neutral,,neutral
158,neutral,,neutral
153,neutral,,neutral
157,entailment,,entailment
163,entailment,,entailment
156,entailment,,entailment
162,entailment,,neutral
152,neutral,,neutral
155,neutral,,neutral
161,entailment,,entailment
165,neutral,,neutral
151,entailment,,neutral
164,entailment,,entailment
150,neutral,,neutral
154,entailment,,entailment
160,entailment,,entailment
