sample_index,premise,hypothesis,golden_label,reference_label,completion
435,"Abe's family moved from the Bahamas to Japan, so they had convert their money into Japanese yen and their checking account had 6359.0 yen, and he has spent 3485.0 yen since then.",They have 2870.0 yen left.,contradiction,contradiction,"initial_yen_premise = 6359.0
spent_yen_premise = 3485.0
remaining_yen_hypothesis = 2870.0

# the hypothesis refers to the remaining yen, which is also mentioned in the premise
# compute the remaining yen in the premise
remaining_yen_premise = initial_yen_premise - spent_yen_premise
if remaining_yen_hypothesis != remaining_yen_premise:
    # check if the remaining yen in the hypothesis contradicts the remaining yen from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
706,"The farmers reported that they harvest 45.0 sacks of apples from an orchard that comprises 8.0 sections, and the same amount of apples is harvested from each section.",5.625 sacks are harvested from a section.,entailment,entailment,"total_sacks_premise = 45.0
sections_premise = 8.0
sacks_per_section_hypothesis = 5.625

# the premise and the hypothesis both refer to the number of sacks harvested from a section
# compute the number of sacks per section in the premise
sacks_per_section_premise = total_sacks_premise / sections_premise
if sacks_per_section_hypothesis != sacks_per_section_premise:
    # check if the number of sacks per section in the hypothesis contradicts the number of sacks per section from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
617,There are 544.0 flowers and each pot has 32.0 in it.,13.0 pots are there in all.,contradiction,contradiction,"flowers_premise = 544.0
flowers_in_pot_premise = 32.0
pots_hypothesis = 13.0

# the hypothesis refers to the number of pots, which can be computed from the premise
# compute the total number of pots in the premise
total_pots_premise = flowers_premise / flowers_in_pot_premise
if pots_hypothesis != total_pots_premise:
    # check if the number of pots in the hypothesis contradicts the number of pots computed from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
541,Sandy has 26.0 pet fish and her cat ate 6.0.,Sandy has 22.0 now.,contradiction,contradiction,"initial_fish_premise = 26.0
eaten_fish_premise = 6.0
remaining_fish_hypothesis = 22.0

# the hypothesis refers to the number of remaining fish, which can be deduced from the premise
# compute the remaining number of fish in the premise
remaining_fish_premise = initial_fish_premise - eaten_fish_premise
if remaining_fish_hypothesis != remaining_fish_premise:
    # check if the number of remaining fish in the hypothesis contradicts the number of remaining fish from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
118,Benjamin skated 80.0 kilometers at 10.0 kilometers per hour.,Benjamin skated for 8.0 hours.,entailment,entailment,"distance_premise = 80.0
speed_premise = 10.0
time_hypothesis = 8.0

# the hypothesis refers to the time Benjamin skated, which can be computed from the premise
# compute the time Benjamin skated in the premise
time_premise = distance_premise / speed_premise
if time_hypothesis != time_premise:
    # check if the time in the hypothesis contradicts the time computed from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
398,Joan's cat had 8.0 kittens and she got 2.0 more from her friends.,She has 10.0 kittens now.,entailment,entailment,"born_kittens_premise = 8.0
received_kittens_premise = 2.0
total_kittens_hypothesis = 10.0

# the hypothesis refers to the total number of kittens, which are also mentioned in the premise
# compute the total number of kittens in the premise
total_kittens_premise = born_kittens_premise + received_kittens_premise
if total_kittens_hypothesis != total_kittens_premise:
    # check if the number of kittens in the hypothesis contradicts the number of kittens from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
633,There is a jar with 3409.0 pieces of candy and there are also 145.0 secret eggs with a prize in them.,3555.0 items in total are in the jar.,contradiction,contradiction,"candy_premise = 3409.0
eggs_premise = 145.0
total_items_hypothesis = 3555.0

# the hypothesis refers to the total number of items, which are also mentioned in the premise
# compute the total number of items in the premise
total_items_premise = candy_premise + eggs_premise

if total_items_hypothesis != total_items_premise:
    # check if the total number of items in the hypothesis contradicts the total number of items from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
99,The school is planning a field trip and there are 14.0 students and 2.0 seats on each school bus.,4.0 buses are needed to take the trip.,contradiction,contradiction,"students_premise = 14.0
seats_per_bus_premise = 2.0
buses_hypothesis = 4.0

# the hypothesis refers to the number of buses needed, which is also mentioned in the premise
# compute the total number of buses needed in the premise
total_buses_premise = students_premise / seats_per_bus_premise
if buses_hypothesis != total_buses_premise:
    # check if the number of buses in the hypothesis contradicts the number of buses from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
551,Michael has 49.0 fish and Ben gives him 18.0 more fish.,He has 66.0 marbles now.,contradiction,entailment,"fish_michael_premise = 49.0
fish_ben_premise = 18.0
marbles_hypothesis = 66.0

# the hypothesis refers to the number of marbles, which is not mentioned in the premise
# compute the total number of fish in the premise
total_fish_premise = fish_michael_premise + fish_ben_premise
if total_fish_premise == marbles_hypothesis:
    # check if the number of marbles in the hypothesis contradicts the number of fish from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
691,"Kaleb saved 21 dollars, and got 15 dollars for his allowance and he gambles it and wins 6 times the amount.",He has 220.0 dollars now.,contradiction,contradiction,"saved_dollars_premise = 21
allowance_premise = 15
win_multiplier_premise = 6
total_dollars_hypothesis = 220.0

# the hypothesis refers to the total amount of dollars, which are mentioned in the premise
# compute the total dollars in the premise
total_dollars_premise = saved_dollars_premise + allowance_premise * win_multiplier_premise
if total_dollars_hypothesis != total_dollars_premise:
    # check if the total amount in the hypothesis contradicts the total amount from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
656,"A box of books weighs 42 pounds, and each book weighs 3 pounds.",14.0 books are there in the box.,entailment,entailment,"total_weight_premise = 42
weight_per_book_premise = 3
total_books_hypothesis = 14.0

# the hypothesis refers to the total number of books, which can be calculated from the weight information in the premise
# calculate the number of books in the premise
total_books_premise = total_weight_premise / weight_per_book_premise
if total_books_hypothesis != total_books_premise:
    # check if the number of books in the hypothesis contradicts the number of books calculated from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
685,"Maria has 45.0 bottles of water in her fridge, and she drank 14.0 of them and her sister drank 8.0.",18.0 bottles are left.,contradiction,contradiction,"initial_bottles_premise = 45.0
drank_maria_premise = 14.0
drank_sister_premise = 8.0
left_bottles_hypothesis = 18.0

# the hypothesis refers to the number of bottles left, which is determined in the premise 
# by the initial number of bottles and the number of bottles drank by Maria and her sister
# compute the number of bottles left in the premise
left_bottles_premise = initial_bottles_premise - (drank_maria_premise + drank_sister_premise)
if left_bottles_hypothesis != left_bottles_premise:
    # check if the number of bottles left in the hypothesis contradicts the number of bottles left from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
454,A treasure hunter discovered a buried treasure chest filled with 5155.0 rubys and 45.0 diamonds.,5200.0 gems were there in total.,entailment,entailment,"rubys_premise = 5155.0
diamonds_premise = 45.0
total_gems_hypothesis = 5200.0

# the hypothesis refers to the total number of gems, which are also mentioned in the premise
# compute the total number of gems in the premise
total_gems_premise = rubys_premise + diamonds_premise
if total_gems_hypothesis != total_gems_premise:
    # check if the number of gems in the hypothesis contradicts the number of gems from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
627,Marlee has 3.0 tables for her Halloween party and each table will hold 12.0 guests.,She can invite 37.0 guests.,contradiction,contradiction,"tables_premise = 3.0
guests_per_table_premise = 12.0
total_guests_hypothesis = 37.0

# the hypothesis implies a total number of guests, which can be estimated in the premise
# compute the total number of guests in the premise
total_guests_premise = tables_premise * guests_per_table_premise
if total_guests_hypothesis != total_guests_premise:
    # check if the number of guests in the hypothesis contradicts the number of guests from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
460,"Nicole found an orange caterpillar and a green caterpillar in her backyard and the green caterpillar was 3.0 inches long, and the orange caterpillar was 1.1666666666666667 inches long.",The green caterpillar and orange caterpillar were 4.16666666667 inches in total.,entailment,entailment,"green_caterpillar_premise = 3.0
orange_caterpillar_premise = 1.1666666666666667
total_length_hypothesis = 4.16666666667

# the hypothesis refers to the total length of caterpillars, which are also mentioned in the premise
# compute the total length of caterpillars in the premise
total_length_premise = green_caterpillar_premise + orange_caterpillar_premise
if abs(total_length_hypothesis - total_length_premise) > 1e-6:
    # check if the total length in the hypothesis contradicts the total length from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
582,Josh had 142.0 pencils and he got 31.0 pencils from Dorothy.,Josh has 173.0 pencils now.,entailment,entailment,"initial_pencils_premise = 142.0
received_pencils_premise = 31.0
total_pencils_hypothesis = 173.0

# the hypothesis refers to the total number of pencils, which are also mentioned in the premise
# compute the total number of pencils in the premise
total_pencils_premise = initial_pencils_premise + received_pencils_premise
if total_pencils_hypothesis != total_pencils_premise:
    # check if the number of pencils in the hypothesis contradicts the number of pencils from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
179,Josh had 16.0 marbles in his collection and he lost 7.0 marbles.,He has 5.0 marbles now.,contradiction,contradiction,"marbles_premise = 16.0
lost_marbles_premise = 7.0
marbles_hypothesis = 5.0

# the hypothesis refers to the number of marbles, which are also mentioned in the premise
# compute the remaining number of marbles in the premise
remaining_marbles_premise = marbles_premise - lost_marbles_premise
if marbles_hypothesis != remaining_marbles_premise:
    # check if the number of marbles in the hypothesis contradicts the number of remaining marbles from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
652,You want to give 24.0 cookies to each of the 6.0 people.,You need 144.0 cookies.,entailment,entailment,"cookies_per_person_premise = 24.0
people_premise = 6.0
total_cookies_hypothesis = 144.0

# the hypothesis refers to the total number of cookies, which can be computed from the premise
# compute the total number of cookies in the premise
total_cookies_premise = cookies_per_person_premise * people_premise
if total_cookies_hypothesis != total_cookies_premise:
    # check if the total number of cookies in the hypothesis contradicts the total number of cookies from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
561,21.0 birds were sitting in a tree and 14.0 more birds flew away.,6.0 birds are left in the tree.,contradiction,contradiction,"sitting_birds_premise = 21.0 
flew_away_birds_premise = 14.0
left_birds_hypothesis = 6.0

# the hypothesis refers to the number of birds left in the tree, which can be estimated from the premise
# compute the number of birds left in the tree in the premise
left_birds_premise = sitting_birds_premise - flew_away_birds_premise
if left_birds_hypothesis != left_birds_premise:
    # check if the number of birds left in the tree in the hypothesis contradicts the number of birds left in the tree from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
