premise,hypothesis,label,sample_index
Sam had 9.0 dimes in his bank and his dad gave him 7.0 dimes.,Sam has 16.0 dimes now.,entailment,0
Sam had 9.0 dimes in his bank and his dad gave him 7.0 dimes.,Sam has 17.0 dimes now.,contradiction,1
A restaurant served 9.0 pizzas during lunch and 6.0 during dinner today.,15.0 pizzas were served today.,entailment,2
A restaurant served 9.0 pizzas during lunch and 6.0 during dinner today.,17.0 pizzas were served today.,contradiction,3
There are 2.0 pencils in the drawer and Tim placed 3.0 pencils in the drawer.,5.0 pencils are now there in total.,entailment,4
There are 2.0 pencils in the drawer and Tim placed 3.0 pencils in the drawer.,2.0 pencils are now there in total.,contradiction,5
"Benny picked 2.0 apples, and Dan picked 9.0 apples from the apple tree.",11.0 apples were picked in total.,entailment,6
"Benny picked 2.0 apples, and Dan picked 9.0 apples from the apple tree.",10.0 apples were picked in total.,contradiction,7
"Melanie had 7.0 dimes in her bank and her dad gave her 8.0 dimes, and her mother gave her 4.0 dimes.",Melanie has 19.0 dimes now.,entailment,8
"Melanie had 7.0 dimes in her bank and her dad gave her 8.0 dimes, and her mother gave her 4.0 dimes.",Melanie has 18.0 dimes now.,contradiction,9
A restaurant served 5.0 cakes during lunch and 6.0 during dinner today and the restaurant served 3.0 cakes yesterday.,14.0 cakes were served in total.,entailment,10
A restaurant served 5.0 cakes during lunch and 6.0 during dinner today and the restaurant served 3.0 cakes yesterday.,16.0 cakes were served in total.,contradiction,11
There are 11.0 rulers and 34.0 crayons in the drawer and Tim placed 14.0 rulers in the drawer.,25.0 rulers are now there in all.,entailment,12
There are 11.0 rulers and 34.0 crayons in the drawer and Tim placed 14.0 rulers in the drawer.,29.0 rulers are now there in all.,contradiction,13
"Joan picked 37.0 oranges, and Sara picked 10.0 oranges and Alyssa picked 30.0 pears.",47.0 oranges were picked in total.,entailment,14
"Joan picked 37.0 oranges, and Sara picked 10.0 oranges and Alyssa picked 30.0 pears.",48.0 oranges were picked in total.,contradiction,15
"Jason picked 46.0 pears, Keith picked 47.0 pears, and Mike picked 12.0 pears from the pear tree.",105.0 pears were picked in total.,entailment,16
"Jason picked 46.0 pears, Keith picked 47.0 pears, and Mike picked 12.0 pears from the pear tree.",101.0 pears were picked in total.,contradiction,17
A restaurant served 6.0 cakes during lunch and 9.0 during dinner today.,15.0 cakes were served today.,entailment,18
A restaurant served 6.0 cakes during lunch and 9.0 during dinner today.,12.0 cakes were served today.,contradiction,19
Fred had 7.0 dimes in his bank and his sister borrowed 3.0 of his dimes.,Fred has 4.0 dimes now.,entailment,20
Fred had 7.0 dimes in his bank and his sister borrowed 3.0 of his dimes.,Fred has 6.0 dimes now.,contradiction,21
Joan's cat had 8.0 kittens and she gave 2.0 to her friends.,She has 6.0 kittens now.,entailment,22
Joan's cat had 8.0 kittens and she gave 2.0 to her friends.,She has 4.0 kittens now.,contradiction,23
Mike has 87.0 baseball cards and Sam bought 13.0 of Mike's baseball cards.,Mike has 74.0 baseball cards now.,entailment,24
Mike has 87.0 baseball cards and Sam bought 13.0 of Mike's baseball cards.,Mike has 72.0 baseball cards now.,contradiction,25
"Alyssa picked 42.0 pears, and Nancy picked 17.0 pears from the pear tree.",59.0 pears were picked in all.,entailment,26
"Alyssa picked 42.0 pears, and Nancy picked 17.0 pears from the pear tree.",60.0 pears were picked in all.,contradiction,27
Sam had 98.0 pennies in his bank and he spent 93.0 of his pennies.,He has 5.0 pennies now.,entailment,28
Sam had 98.0 pennies in his bank and he spent 93.0 of his pennies.,He has 0.0 pennies now.,contradiction,29
Sally had 760.0 quarters in her bank and she spent 418.0 of her quarters.,She has 342.0 quarters now.,entailment,30
Sally had 760.0 quarters in her bank and she spent 418.0 of her quarters.,She has 341.0 quarters now.,contradiction,31
Jason has 676.0 Pokemon cards and Alyssa bought 224.0 of Jason's Pokemon cards.,Jason has 452.0 Pokemon cards now.,entailment,32
Jason has 676.0 Pokemon cards and Alyssa bought 224.0 of Jason's Pokemon cards.,Jason has 453.0 Pokemon cards now.,contradiction,33
Jessica had 8.0 quarters in her bank and her sister borrowed 3.0 of her quarters.,Jessica has 5.0 quarters now.,entailment,34
Jessica had 8.0 quarters in her bank and her sister borrowed 3.0 of her quarters.,Jessica has 2.0 quarters now.,contradiction,35
A restaurant made 9.0 hamburgers to serve during lunch and only 3.0 were actually served.,6.0 hamburgers were left over from lunch.,entailment,36
