sample_index,label,error_message,golden_label
89,contradiction,,contradiction
108,entailment,,entailment
118,neutral,,neutral
149,entailment,,contradiction
99,entailment,,entailment
6,entailment,,entailment
138,entailment,,entailment
128,neutral,,contradiction
2,neutral,,contradiction
139,neutral,,neutral
129,contradiction,,entailment
3,entailment,,entailment
88,neutral,,neutral
109,neutral,,neutral
119,contradiction,,contradiction
148,neutral,,neutral
98,contradiction,,contradiction
7,entailment,,neutral
136,entailment,,neutral
102,entailment,,entailment
15,entailment,,entailment
44,contradiction,,contradiction
70,entailment,,neutral
21,entailment,,entailment
83,entailment,,contradiction
93,contradiction,,entailment
31,contradiction,,neutral
60,entailment,,entailment
54,entailment,,entailment
112,neutral,,neutral
143,contradiction,,contradiction
126,entailment,,entailment
106,entailment,,neutral
132,entailment,,entailment
25,entailment,,neutral
74,contradiction,,contradiction
87,entailment,,entailment
40,neutral,,neutral
11,contradiction,,contradiction
8,neutral,,contradiction
50,contradiction,,contradiction
97,entailment,,neutral
64,entailment,,neutral
35,contradiction,,contradiction
122,contradiction,,contradiction
147,entailment,,entailment
116,contradiction,,contradiction
107,neutral,,contradiction
133,entailment,,neutral
24,entailment,,entailment
75,entailment,,entailment
86,neutral,,contradiction
41,contradiction,,contradiction
10,neutral,,neutral
9,entailment,,entailment
51,entailment,,entailment
96,entailment,,entailment
65,contradiction,,contradiction
34,neutral,,neutral
123,entailment,,entailment
146,entailment,,contradiction
117,entailment,,entailment
137,contradiction,,contradiction
103,entailment,,neutral
14,neutral,,contradiction
45,neutral,,entailment
71,entailment,,contradiction
20,neutral,,contradiction
82,neutral,,neutral
92,contradiction,,contradiction
30,entailment,,entailment
61,contradiction,,neutral
55,entailment,,neutral
113,neutral,,contradiction
142,entailment,,neutral
127,entailment,,neutral
104,contradiction,,contradiction
130,contradiction,,neutral
85,neutral,,neutral
76,entailment,,neutral
27,entailment,,entailment
13,neutral,,neutral
42,entailment,,entailment
52,entailment,,neutral
37,entailment,,neutral
66,entailment,,entailment
95,contradiction,,contradiction
