premise,hypothesis,label,sample_index
In 1956 Accardo won the Geneva Competition and in 1958 became the first prize winner of the Paganini Competition in Genoa . He has recorded Paganini 's famous 24 Caprices ( re-recorded in 1999 ) for solo violin and was the first to record all six of the Paganini Violin Concertos .,Accardo composed 24 Caprices .,neutral,0
"David Golinkin is the editor or author of eighteen books , and over 150 responsa , articles , sermons and books .",Golinkin has written eighteen books .,neutral,1
"David Golinkin is single-handedly responsible for uncovering and re-publishing dozens of responsa of the Committee on Jewish Law and Standards of the Rabbinical Assembly , making them available to the general public in a three-volume set .",David Golinkin is the author of dozen of responsa of the Committee on Jewish Law and Standards of the Rabbinical Assembly .,neutral,2
"During Reinsdorf 's 24 seasons as chairman of the White Sox , the team has captured American League division championships three times , including an AL Central title in 2000 .",Reinsdorf was the chairman of the White Sox for 24 seasons .,entailment,3
"During Reinsdorf 's 24 seasons as chairman of the White Sox , the team has captured American League division championships three times , including an AL Central title in 2000 .",The White Sox have won 24 championships .,neutral,4
"Scott Island is a small uninhabited island of volcanic origin in the Southern Ocean , 505 km northeastward of Cape Adare , the northeastern extremity of Victoria Land .",Scott Island lies 505 km northeastward of Victoria .,neutral,5
"Dr. Felix Soto Toro ( born 1967 in Guaynabo , Puerto Rico ) , is an astronaut applicant and an Electrical Designs Engineer in NASA , who developed an electronic 3D measuring system .",Soto Toro invented a 3D measuring system .,entailment,6
"The first Windows Challenge was held in 2004 , consisting of less than 30 teams within the United States . In 2005 , it was opened to the rest of the world . 278 teams from all over the world participated .",278 teams from all over the world participated in the first Windows Challenge .,neutral,7
"Human rights groups say police detained some 2,500 people after the attack on the Hilton hotel in Taba and mistreated many of them .","Some 2,500 people have been arrested after the attack on the Hilton hotel in Taba .",entailment,8
Rival generic drug maker Mylan Laboratories Inc. reported revenue of $ 1.3 billion for fiscal 2005 .,Mylan Laboratories Inc. earned $ 1.3 billion in fiscal year 2005 .,entailment,9
"After the deal closes , Teva will generate sales of about $ 7 billion a year , the company said .",Teva earns $ 7 billion a year .,neutral,10
Governor Tim Pawlenty of Minnesota signed a bill into law on Thursday that requires the state to generate a significant amount of its energy needs from renewable sources . The amount of power generated by wind turbines in the state stands now at 895 megawatts .,The amount of power produced in Minnesota stands at 895 megawatts .,neutral,11
"India 's yearly pilgrimage to the Ganges river , worshiped by Hindus as the goddess Ganga , is the worlds largest gathering of people , with around 70 million participants , dwarfing other religious pilgrimages .",Around 70 million people participate in pilgrimage to the Ganges river .,entailment,12
"In a move widely viewed as surprising , the Bank of England raised UK interest rates from 5 % to 5.25 % , the highest in five years .",UK interest rates went up from 5 % to 5.25 % .,entailment,13
"The same storm has caused more than 125,000 people to lose power near St. Louis , Missouri and power officials say that they are `` still losing people , '' said Springfield 's City Utilities spokesman , Ern DeCamp .","125,000 were killed by a storm .",neutral,14
"The American computer company Apple has reached 78 percent increase in its profits during the last quarter , which ended December 30 , 2006 .",Apple 's profits rose by 78 percent during the last quarter of 2006 .,entailment,15
There are no reports so far as to whether any relatives have claimed the bodies of the four military men who were reportedly killed when the plane crashed .,Four military men died in a plane crash .,entailment,16
"The referendum would be held at the same time as the vote to elect Romania 's 35 representatives to the European Parliament , as Romania will join the European Union in 2007 .",12 members of the European Union use the Euro instead of their own national currencies .,neutral,17
"In the last two years in the Darfur region more than 70,000 people have been killed , and over 2 million displaced .","More than 200,000 people have been killed in the air attack in the Darfur region .",neutral,18
