premise,hypothesis,label,sample_index
Sandy gets 3 marks for each correct sum and loses 2 marks for each incorrect sum,Sandy gets less than 4 marks for each correct sum and loses 2 marks for each incorrect sum,entailment,258
Sandy gets less than 4 marks for each correct sum and loses 2 marks for each incorrect sum,Sandy gets 3 marks for each correct sum and loses 2 marks for each incorrect sum,neutral,259
Murali travelled from city A to city B at a speed of 40 kmph and from city B to city C at 60 kmph,Murali travelled from city A to city B at a speed of less than 80 kmph and from city B to city C at 60 kmph,entailment,570
Murali travelled from city A to city B at a speed of less than 80 kmph and from city B to city C at 60 kmph,Murali travelled from city A to city B at a speed of 40 kmph and from city B to city C at 60 kmph,neutral,571
Mr Yadav spends 60 % of his monthly salary on consumable items and 50 % of the remaining on clothes and transport,Mr Yadav spends more than 10 % of his monthly salary on consumable items and 50 % of the remaining on clothes and transport,entailment,591
Mr Yadav spends more than 10 % of his monthly salary on consumable items and 50 % of the remaining on clothes and transport,Mr Yadav spends 60 % of his monthly salary on consumable items and 50 % of the remaining on clothes and transport,neutral,592
Ashok and Pyarelal invested money together in a business and share a capital of Ashok is 1 / 9 of that of Pyarelal,Ashok and Pyarelal invested money together in a business and share a capital of Ashok is less than 7 / 9 of that of Pyarelal,entailment,621
Ashok and Pyarelal invested money together in a business and share a capital of Ashok is less than 7 / 9 of that of Pyarelal,Ashok and Pyarelal invested money together in a business and share a capital of Ashok is 1 / 9 of that of Pyarelal,neutral,622
Ashok and Pyarelal invested money together in a business and share a capital of Ashok is 1 / 9 of that of Pyarelal,Ashok and Pyarelal invested money together in a business and share a capital of Ashok is less than 1 / 9 of that of Pyarelal,contradiction,623
Murali travelled from city A to city B at a speed of 40 kmph and from city B to city C at 60 kmph,Murali travelled from city A to city B at a speed of more than 40 kmph and from city B to city C at 60 kmph,contradiction,815
"Jose joined him 2 months later , investing Rs","Jose joined him less than 6 months later , investing Rs",entailment,951
"Jose joined him less than 6 months later , investing Rs","Jose joined him 2 months later , investing Rs",neutral,952
"Jose joined him 2 months later , investing Rs","Jose joined him 8 months later , investing Rs",contradiction,953
"David obtained 76 , 65 , 82 , 67 and 85 marks ( out of 100 ) in English , Mathematics , Physics , Chemistry and Biology What are his average marks ?","David obtained 86 , 65 , 82 , 67 and 85 marks ( out of 100 ) in English , Mathematics , Physics , Chemistry and Biology What are his average marks ?",contradiction,959
How much loss would Indu has suffered had she given it to Bindu for 2 years at 4 % per annum simple interest ?,How much loss would Indu has suffered had she given it to Bindu for less than 7 years at 4 % per annum simple interest ?,entailment,1182
How much loss would Indu has suffered had she given it to Bindu for less than 7 years at 4 % per annum simple interest ?,How much loss would Indu has suffered had she given it to Bindu for 2 years at 4 % per annum simple interest ?,neutral,1183
Kishore saved 10 % of his monthly salary,Kishore saved less than 10 % of his monthly salary,contradiction,1247
From a group of 6 boys & 4 girls a Committee of 4 persons is to be formed,From a group of more than 1 boys & 4 girls a Committee of 4 persons is to be formed,entailment,1296
From a group of more than 1 boys & 4 girls a Committee of 4 persons is to be formed,From a group of 6 boys & 4 girls a Committee of 4 persons is to be formed,neutral,1297
How much loss would Indu has suffered had she given it to Bindu for 2 years at 4 % per annum simple interest ?,How much loss would Indu has suffered had she given it to Bindu for 7 years at 4 % per annum simple interest ?,contradiction,1328
"In the city of San Durango , 60 people own cats , dogs , or rabbits","In the city of San Durango , more than 50 people own cats , dogs , or rabbits",entailment,1416
"In the city of San Durango , more than 50 people own cats , dogs , or rabbits","In the city of San Durango , 60 people own cats , dogs , or rabbits",neutral,1417
"In the city of San Durango , 60 people own cats , dogs , or rabbits","In the city of San Durango , 20 people own cats , dogs , or rabbits",contradiction,1418
"Sheila works 8 hours per day on Monday , Wednesday and Friday , and 6 hours per day on Tuesday and Thursday","Sheila works more than 8 hours per day on Monday , Wednesday and Friday , and 6 hours per day on Tuesday and Thursday",contradiction,1460
"Jose joined him 2 months later , investing Rs","Jose joined him less than 6 months later , investing Rs",entailment,1476
"Jose joined him less than 6 months later , investing Rs","Jose joined him 2 months later , investing Rs",neutral,1477
"Alok ordered 16 chapatis , 5 plates of rice , 7 plates of mixed vegetable and 6 ice - cream cups","Alok ordered less than 16 chapatis , 5 plates of rice , 7 plates of mixed vegetable and 6 ice - cream cups",contradiction,1565
Vijay bought 160 shirts at the rate of Rs,Vijay bought less than 260 shirts at the rate of Rs,entailment,1632
Vijay bought less than 260 shirts at the rate of Rs,Vijay bought 160 shirts at the rate of Rs,neutral,1633
"Victor has 15 cups if flour , 16 cups of sugar and 8 cups of milk","Victor has less than 35 cups if flour , 16 cups of sugar and 8 cups of milk",entailment,1665
"Victor has less than 35 cups if flour , 16 cups of sugar and 8 cups of milk","Victor has 15 cups if flour , 16 cups of sugar and 8 cups of milk",neutral,1666
Suresh can complete a job in 15 hours,Suresh can complete a job in more than 15 hours,contradiction,1679
Vijay bought 160 shirts at the rate of Rs,Vijay bought less than 260 shirts at the rate of Rs,entailment,1710
Vijay bought less than 260 shirts at the rate of Rs,Vijay bought 160 shirts at the rate of Rs,neutral,1711
Vijay bought 160 shirts at the rate of Rs,Vijay bought more than 160 shirts at the rate of Rs,contradiction,1712
"If bonds are sold in $ 50 or $ 100 denominations only , which of the following CAN NOT be the number of US saving bonds that Robert purchased ?","If bonds are sold in $ more than 50 or $ 100 denominations only , which of the following CAN NOT be the number of US saving bonds that Robert purchased ?",contradiction,1754
John was thrice as old as Tom 6 yrs back,John was thrice as old as Tom 5 yrs back,contradiction,1781
John has 10 pairs of matched socks,John has more than 10 pairs of matched socks,contradiction,1841
How much loss would Indu has suffered had she given it to Bindu for 2 years at 4 % per annum simple interest ?,How much loss would Indu has suffered had she given it to Bindu for less than 8 years at 4 % per annum simple interest ?,entailment,1953
How much loss would Indu has suffered had she given it to Bindu for less than 8 years at 4 % per annum simple interest ?,How much loss would Indu has suffered had she given it to Bindu for 2 years at 4 % per annum simple interest ?,neutral,1954
"If there are 25 males altogether , how many gerbils does Claire have ?","If there are more than 25 males altogether , how many gerbils does Claire have ?",contradiction,1961
Paul can dig the same well in 24 days,Paul can dig the same well in less than 24 days,contradiction,2009
"The pilot of a small aircraft with a 40 - gallon fuel tank wants to fly to Cleveland , which is 480 miles away","The pilot of a small aircraft with a less than 70 - gallon fuel tank wants to fly to Cleveland , which is 480 miles away",entailment,2022
"The pilot of a small aircraft with a less than 70 - gallon fuel tank wants to fly to Cleveland , which is 480 miles away","The pilot of a small aircraft with a 40 - gallon fuel tank wants to fly to Cleveland , which is 480 miles away",neutral,2023
"In the city of San Durango , 60 people own cats , dogs , or rabbits","In the city of San Durango , more than 50 people own cats , dogs , or rabbits",entailment,2106
"In the city of San Durango , more than 50 people own cats , dogs , or rabbits","In the city of San Durango , 60 people own cats , dogs , or rabbits",neutral,2107
