sample_index,generated_label,error_message,golden_label,premise,hypothesis,clean_premise,clean_hypothesis,completion
5810,contradiction,,contradiction,"Sid left a job paying $ 75,000 per year to accept a sales job paying $ 45,000 per year plus 15 percent commission","Sid left a job paying $ 75,000 per year to accept a sales job paying $ 45,000 per year plus 25 percent commission","sid left a job paying $ 75,000 per year to accept a sales job paying $ 45,000 per year plus 15 percent commission","sid left a job paying $ 75,000 per year to accept a sales job paying $ 45,000 per year plus 25 percent commission","old_job_salary_premise = 75000
new_job_salary_premise = 45000
new_job_commission_premise = 0.15

old_job_salary_hypothesis = 75000
new_job_salary_hypothesis = 45000
new_job_commission_hypothesis = 0.25

def entailment_or_contradiction_or_neutral(old_job_salary_premise, new_job_salary_premise, new_job_commission_premise, old_job_salary_hypothesis, new_job_salary_hypothesis, new_job_commission_hypothesis):
    # first, check if the salaries stated in the hypothesis contradict the ones from the premise
    if old_job_salary_premise != old_job_salary_hypothesis or new_job_salary_premise != new_job_salary_hypothesis:
        return False
    # then, check if the commission rate from the hypothesis contradicts the one from the premise
    if new_job_commission_premise != new_job_commission_hypothesis:
        return False
    # if neither the salaries nor the commission rate are contradicted, the hypothesis entails the premise
    return True

print(entailment_or_contradiction_or_neutral(old_job_salary_premise, new_job_salary_premise, new_job_commission_premise, old_job_salary_hypothesis, new_job_salary_hypothesis, new_job_commission_hypothesis))
"
653,contradiction,,contradiction,"Ben left a job paying $ 75,000 per year to accept a sales job paying $ 45,000 per year plus 15 percent commission","Ben left a job paying $ 75,000 per year to accept a sales job paying $ 45,000 per year plus 85 percent commission","ben left a job paying $ 75,000 per year to accept a sales job paying $ 45,000 per year plus 15 percent commission","ben left a job paying $ 75,000 per year to accept a sales job paying $ 45,000 per year plus 85 percent commission","old_job_pay_premise = 75000
new_job_base_pay_premise = 45000
new_job_commission_premise = 15

old_job_pay_hypothesis = 75000
new_job_base_pay_hypothesis = 45000
new_job_commission_hypothesis = 85

def entailment_or_contradiction_or_neutral(old_job_pay_premise, new_job_base_pay_premise, new_job_commission_premise, old_job_pay_hypothesis, new_job_base_pay_hypothesis, new_job_commission_hypothesis):
    # the premise and hypothesis refer to the old and new job pay of Ben
    # the commission percentage in the new job from the hypothesis contradicts the commission percentage in the new job from the premise
    if new_job_commission_hypothesis != new_job_commission_premise:
        return False
    # the base pay of the new job from the hypothesis is consistent with the base pay of the new job from the premise
    if new_job_base_pay_hypothesis == new_job_base_pay_premise:
        return True

print(entailment_or_contradiction_or_neutral(old_job_pay_premise, new_job_base_pay_premise, new_job_commission_premise, old_job_pay_hypothesis, new_job_base_pay_hypothesis, new_job_commission_hypothesis))
"
3003,entailment,,entailment,"After 2 years , Arun ' s age will be 26 years","After less than 3 years , Arun ' s age will be 26 years","after 2 years , arun ' s age will be 26 years","after less than 3 years , arun ' s age will be 26 years","arun_future_age_premise = 26
years_till_future_age_premise = 2
arun_future_age_hypothesis = 26
max_years_till_future_age_hypothesis = 3

def entailment_or_contradiction_or_neutral(arun_future_age_premise, years_till_future_age_premise, arun_future_age_hypothesis, max_years_till_future_age_hypothesis):
    # check if the hypothesis contradicts the premise by checking if Arun's future age mentioned in the hypothesis is different from the premise or if the number of years until he reaches that age is greater than the number mentioned in the premise
    if arun_future_age_premise != arun_future_age_hypothesis or years_till_future_age_premise > max_years_till_future_age_hypothesis:
        return False
    # if the hypothesis does not contradict the premise, it must entail it
    return True

print(entailment_or_contradiction_or_neutral(arun_future_age_premise, years_till_future_age_premise, arun_future_age_hypothesis, max_years_till_future_age_hypothesis))
"
3889,neutral,,neutral,"At Pete ’ s Pet Shop , less than 65 cups of bird seed are used every 5 days to feed 14 parakeets","At Pete ’ s Pet Shop , 35 cups of bird seed are used every 5 days to feed 14 parakeets","at pete ’ s pet shop , less than 65 cups of bird seed are used every 5 days to feed 14 parakeets","at pete ’ s pet shop , 35 cups of bird seed are used every 5 days to feed 14 parakeets","max_birdseed_usage_premise = 65
birdseed_usage_hypothesis = 35

def entailment_or_contradiction_or_neutral(max_birdseed_usage_premise, birdseed_usage_hypothesis):
    # the hypothesis talks about the amount of bird seed used at Pete's Pet Shop, which is also mentioned in the premise
    # check if the hypothesis contradicts the premise estimate of less than 'max_birdseed_usage_premise', by checking if the bird seed usage from the hypothesis is greater than 'max_birdseed_usage_premise'
    if birdseed_usage_hypothesis > max_birdseed_usage_premise:
        return False
    # any amount of bird seed less than 65 cups is consistent with the premise, so the hypothesis is neutral to the premise
    return None

print(entailment_or_contradiction_or_neutral(max_birdseed_usage_premise, birdseed_usage_hypothesis))
"
405,entailment,,entailment,Nitin borrowed some money at the rate of 6 % p,Nitin borrowed some money at the rate of more than 1 % p,nitin borrowed some money at the rate of 6 % p,nitin borrowed some money at the rate of more than 1 % p,"rate_premise = 6
min_rate_hypothesis = 1

def entailment_or_contradiction_or_neutral(rate_premise, min_rate_hypothesis):
    # the hypothesis refers to the interest rate at which Nitin borrowed money, mentioned in the premise
    # the hypothesis estimates the interest rate to more than 'min_rate_hypothesis'
    # check if the hypothesis contradicts the premise by checking if the interest rate in the premise is lower than 'min_rate_hypothesis'
    if rate_premise <= min_rate_hypothesis:
        return False
    else:
        return True

print(entailment_or_contradiction_or_neutral(rate_premise, min_rate_hypothesis))
"
7164,entailment,,entailment,15 people entered a theater before Sujit,less than 65 people entered a theater before Sujit,15 people entered a theater before sujit,less than 65 people entered a theater before sujit,"people_before_sujit_premise = 15
max_people_before_sujit_hypothesis = 65

def entailment_or_contradiction_or_neutral(people_before_sujit_premise, max_people_before_sujit_hypothesis):
    # the hypothesis refers to the number of people entering the theater before Sujit, mentioned in the premise
    # the hypothesis estimates the people entering before Sujit to less than 'max_people_before_sujit_hypothesis'
    # check if the hypothesis contradicts the premise by checking if people entering before Sujit in the premise are more than 'max_people_before_sujit_hypothesis'
    if people_before_sujit_premise > max_people_before_sujit_hypothesis:
        return False
    else:
        return True

print(entailment_or_contradiction_or_neutral(people_before_sujit_premise, max_people_before_sujit_hypothesis))
"
4172,contradiction,,contradiction,"In the city of San Durango , 60 people own cats , dogs , or rabbits","In the city of San Durango , 80 people own cats , dogs , or rabbits","in the city of san durango , 60 people own cats , dogs , or rabbits","in the city of san durango , 80 people own cats , dogs , or rabbits","pets_owners_premise = 60
pets_owners_hypothesis = 80

def entailment_or_contradiction_or_neutral(pets_owners_premise, pets_owners_hypothesis):
    # the hypothesis refers to the number of pets owners in San Durango, mentioned in the premise
    # check if the hypothesis contradicts the premise by checking if the number of owners from the hypothesis is greater than the number of owners from the premise
    if pets_owners_hypothesis > pets_owners_premise:
        return False
    # any number of owners less or equal to 60 is consistent with the premise, so the hypothesis is neutral to the premise
    return None

print(entailment_or_contradiction_or_neutral(pets_owners_premise, pets_owners_hypothesis))
"
72,entailment,,entailment,"What is the average speed of Murali from A to C given that the ratio of distances between A to B and B to C is 2 : 3 ?
A",What is the average speed of Murali from A to C given that the ratio of distances between A to B and B to C is less than 6 : 3 ? A,what is the average speed of murali from a to c given that the ratio of distances between a to b and b to c is 2 : 3 ?a,what is the average speed of murali from a to c given that the ratio of distances between a to b and b to c is less than 6 : 3 ? a,"dist_ratio_premise = 2 / 3
max_dist_ratio_hypothesis = 6 / 3

def entailment_or_contradiction_or_neutral(dist_ratio_premise, max_dist_ratio_hypothesis):
    # the hypothesis talks about the ratio of distances same as in the premise
    # check if the hypothesis contradicts the premise by checking if the distance ratio in the premise is greater than 'max_dist_ratio_hypothesis'
    if dist_ratio_premise > max_dist_ratio_hypothesis:
        return False
    # if no contradiction, check if the hypothesis entails the premise by checking if the distance ratio in the premise is equal to or smaller than 'max_dist_ratio_hypothesis'
    elif dist_ratio_premise <= max_dist_ratio_hypothesis:
        return True
    # if neither contradiction nor entailment is found, return None
    else:
        return None

print(entailment_or_contradiction_or_neutral(dist_ratio_premise, max_dist_ratio_hypothesis))
"
3232,neutral,,neutral,Andy has less than 30 pairs of matched gloves,Andy has 20 pairs of matched gloves,andy has less than 30 pairs of matched gloves,andy has 20 pairs of matched gloves,"max_gloves_pairs_premise = 30
gloves_pairs_hypothesis = 20

def entailment_or_contradiction_or_neutral(max_gloves_pairs_premise, gloves_pairs_hypothesis):
    # the hypothesis talks about the number of gloves pairs Andy has, referenced also in the premise
    # check if the hypothesis contradicts the premise estimate of less than 'max_gloves_pairs_premise', by checking if the number of gloves pairs from the hypothesis is higher or equal to 'max_gloves_pairs_premise'
    if gloves_pairs_hypothesis >= max_gloves_pairs_premise:
        return False
    # any number of gloves pairs less than 30 is consistent with the premise, so the hypothesis is neutral to the premise
    return None

print(entailment_or_contradiction_or_neutral(max_gloves_pairs_premise, gloves_pairs_hypothesis))
"
682,neutral,,neutral,"Calculate the average mark scored by Belinda if she had the following scores in an examination : more than 46 , 50 , 60 , 67 and 79 marks ( out of 100 ) in English Language , Spanish Language , Social Studies , Fine Art , and Physical Education respectively ?","Calculate the average mark scored by Belinda if she had the following scores in an examination : 86 , 50 , 60 , 67 and 79 marks ( out of 100 ) in English Language , Spanish Language , Social Studies , Fine Art , and Physical Education respectively ?","calculate the average mark scored by belinda if she had the following scores in an examination : more than 46 , 50 , 60 , 67 and 79 marks ( out of 100 ) in english language , spanish language , social studies , fine art , and physical education respectively ?","calculate the average mark scored by belinda if she had the following scores in an examination : 86 , 50 , 60 , 67 and 79 marks ( out of 100 ) in english language , spanish language , social studies , fine art , and physical education respectively ?","# Quantities in the premise
min_english_marks_premise = 46
spanish_marks_premise = 50
social_studies_marks_premise = 60
fine_art_marks_premise = 67
physical_education_marks_premise = 79

# Quantities in the hypothesis
english_marks_hypothesis = 86
spanish_marks_hypothesis = 50
social_studies_marks_hypothesis = 60
fine_art_marks_hypothesis = 67
physical_education_marks_hypothesis = 79

def entailment_or_contradiction_or_neutral(min_english_marks_premise, spanish_marks_premise, social_studies_marks_premise, fine_art_marks_premise, physical_education_marks_premise, english_marks_hypothesis, spanish_marks_hypothesis, social_studies_marks_hypothesis, fine_art_marks_hypothesis, physical_education_marks_hypothesis):
    # the hypothesis talks about the marks scored by Belinda in various subjects, which is also referenced in the premise
    # check if the hypothesis contradicts the premise estimate of more than 'min_english_marks_premise', by checking if the English marks from the hypothesis are lower or equal to 'min_english_marks_premise'
    if english_marks_hypothesis <= min_english_marks_premise:
        return False
    # any English mark greater than 46 is consistent with the premise, so the hypothesis is neutral to the premise
    return None

print(entailment_or_contradiction_or_neutral(min_english_marks_premise, spanish_marks_premise, social_studies_marks_premise, fine_art_marks_premise, physical_education_marks_premise, english_marks_hypothesis, spanish_marks_hypothesis, social_studies_marks_hypothesis, fine_art_marks_hypothesis, physical_education_marks_hypothesis))
"
