premise,hypothesis,label,sample_index,lila_label,lila_script
sam had 9.0 dimes in his bank and his dad gave him 7.0 dimes,sam has 16.0 dimes now,entailment,0,Entailment,"Sam_dimes_S1=9+7
Sam_dimes_S2=16

if Sam_dimes_S1 is None or Sam_dimes_S2 is None:
   print('neutral')

elif Sam_dimes_S1 == Sam_dimes_S2:
   print('Entailment')

elif Sam_dimes_S1 != Sam_dimes_S2:
  print('contradiction')



"
sam had 9.0 dimes in his bank and his dad gave him 7.0 dimes,sam has 17.0 dimes now,contradiction,1,contradiction,"sam_dimes_s1 = 9+7
sam_dimes_s2 = 17
 
if sam_dimes_s1 is None or sam_dimes_s2 is None:
 print('neutral')

elif sam_dimes_s1 == sam_dimes_s2:
 print('Entailment')

elif sam_dimes_s1 != sam_dimes_s2:
 print('contradiction')"
a restaurant served 9.0 pizzas during lunch and 6.0 during dinner today .,15.0 pizzas were served today,entailment,2,Entailment,"Served_pizza_s1=6+9
Served_pizza_today_s2=15
if Served_pizza_s1 is None or Served_pizza_today_s2 is None:
    print(""neutral"")
elif Served_pizza_s1 == Served_pizza_today_s2:
    print(""Entailment"")
elif Served_pizza_s1 != Served_pizza_today_s2:
    print(""contradiction"")

"
a restaurant served 9.0 pizzas during lunch and 6.0 during dinner today .,17.0 pizzas were served today,contradiction,3,contradiction,"pizza_served_s1 = 9 + 6
pizza_served_s2 = 17
 
if pizza_served_s1 is None or pizza_served_s2 is None:
 print('neutral')

elif pizza_served_s1 == pizza_served_s2:
 print('Entailment')

elif pizza_served_s1 != pizza_served_s2:
 print('contradiction')"
there are 2.0 pencils in the drawer and tim placed 3.0 pencils in the drawer,5.0 pencils are now there in total,entailment,4,Entailment,"pencils_drawer_s1 = 2+3
pencils_drawer_s2 = 5

if pencils_drawer_s1 is None or pencils_drawer_s2 is None:
   print('neutral')

elif pencils_drawer_s1 == pencils_drawer_s2:
   print('Entailment')

elif pencils_drawer_s1 != pencils_drawer_s2:
  print('contradiction')"
there are 2.0 pencils in the drawer and tim placed 3.0 pencils in the drawer,2.0 pencils are now there in total,contradiction,5,contradiction,"total_pencils_s1 = 2 + 3
total_pencils_s2 = 2

if total_pencils_s1 is None or total_pencils_s2 is None:
    print(""Neutral"")
elif total_pencils_s1 < total_pencils_s2 :
    print(""Entailment"")
elif total_pencils_s1 != total_pencils_s2 :
    print(""Contradiction"")"
"benny picked 2.0 apples, and dan picked 9.0 apples from the apple tree .",11.0 apples were picked in total,entailment,6,Entailment,"apples_picked_s1 = 2+9
apples_picked_s2 = 11
 
if apples_picked_s1 is None or apples_picked_s2 is None:
 print('neutral')

elif apples_picked_s1 == apples_picked_s2:
 print('Entailment')

elif apples_picked_s1 != apples_picked_s2:
 print('contradiction')"
"benny picked 2.0 apples, and dan picked 9.0 apples from the apple tree .",10.0 apples were picked in total,contradiction,7,contradiction,"apples_picked_s1 = 2+9
apples_picked_s2 = 10
 
if apples_picked_s1 is None or apples_picked_s2 is None:
 print('neutral')

elif apples_picked_s1 == apples_picked_s2:
 print('Entailment')

elif apples_picked_s1 != apples_picked_s2:
 print('contradiction')"
"melanie had 7.0 dimes in her bank and her dad gave her 8.0 dimes, and her mother gave her 4.0 dimes",melanie has 19.0 dimes now,entailment,8,Entailment,"Mealanie_dimes_s1=7+8+4
Mealanie_dimes_s2=19
if Mealanie_dimes_s1 is None or Mealanie_dimes_s2 is None:
    print(""neutral"")
elif Mealanie_dimes_s1 == Mealanie_dimes_s2:
    print(""Entailment"")
elif Mealanie_dimes_s1 != Mealanie_dimes_s2:
    print(""contradiction"")

"
"melanie had 7.0 dimes in her bank and her dad gave her 8.0 dimes, and her mother gave her 4.0 dimes",melanie has 18.0 dimes now,contradiction,9,contradiction,"bonds_sold_s1= 50
bonds_sold_s2 = 20

if bonds_sold_s1 is None or bonds_sold_s2 is None:
    print(""Neutral"")
elif bonds_sold_s1 == bonds_sold_s2 :
    print(""Entailment"")
elif bonds_sold_s1 != bonds_sold_s2 :
    print(""Contradiction"")"
a restaurant served 5.0 cakes during lunch and 6.0 during dinner today and the restaurant served 3.0 cakes yesterday,16.0 cakes were served in total,contradiction,11,contradiction,"cakes_served_s1 = 5+6
cakes_served_s2 = 16

if cakes_served_s1 is None or cakes_served_s2 is None:
   print('neutral')

elif cakes_served_s1 == cakes_served_s2:
   print('Entailment')

elif cakes_served_s1 != cakes_served_s2:
  print('contradiction')
"
there are 11.0 rulers and 34.0 crayons in the drawer and tim placed 14.0 rulers in the drawer,29.0 rulers are now there in all,contradiction,13,contradiction,"total_rulers_s1 = 11+14
total_rulers_s2 = 29

if total_rulers_s1 is None or total_rulers_s2 is None:
   print('neutral')

elif total_rulers_s1 == total_rulers_s2:
   print('Entailment')

elif total_rulers_s1 != total_rulers_s2:
  print('contradiction')"
"joan picked 37.0 oranges, and sara picked 10.0 oranges and alyssa picked 30.0 pears",47.0 oranges were picked in total,entailment,14,Entailment,"oranges_picked_iin_s1 = 37+10
oranges_picked_iin_s2 = 47

if oranges_picked_iin_s1 is None or oranges_picked_iin_s2 is None:
    print(""neutral"")
elif (oranges_picked_iin_s1 == oranges_picked_iin_s2):
    print(""Entailment"")
elif oranges_picked_iin_s1 != oranges_picked_iin_s2:
    print(""contradiction"")"
"joan picked 37.0 oranges, and sara picked 10.0 oranges and alyssa picked 30.0 pears",48.0 oranges were picked in total,contradiction,15,contradiction,"joan_picked_oranges_s1 =47
joan_picked_oranges_s2 = 48

if joan_picked_oranges_s1 is None or joan_picked_oranges_s2 is None:
    print(""Neutral"")
elif joan_picked_oranges_s1 == joan_picked_oranges_s2:
    print(""Entailment"")
elif joan_picked_oranges_s1 != joan_picked_oranges_s2:
    print(""Contradiction"")"
"jason picked 46.0 pears , keith picked 47.0 pears , and mike picked 12.0 pears from the pear tree .",105.0 pears were picked in total,entailment,16,Entailment,"total_pears_s1 = 46+47+12
total_pears_s2 = 105

if total_pears_s1 is None or total_pears_s2 is None:
   print('neutral')

elif total_pears_s1 == total_pears_s2:
   print('Entailment')

elif total_pears_s1 != total_pears_s2:
  print('contradiction')"
"jason picked 46.0 pears , keith picked 47.0 pears , and mike picked 12.0 pears from the pear tree .",101.0 pears were picked in total,contradiction,17,contradiction,"total_pears_picked_s1 = 46+47+12
total_pears_picked_s2 = 101


if total_pears_picked_s1 is None or total_pears_picked_s2 is None:
    print(""Neutral"")
elif total_pears_picked_s1 == total_pears_picked_s2 :
    print(""Entailment"")
elif total_pears_picked_s1 != total_pears_picked_s2 :
    print(""Contradiction"")"
a restaurant served 6.0 cakes during lunch and 9.0 during dinner today .,12.0 cakes were served today,contradiction,19,contradiction,"Seved_Cake_s1=9+6
Seved_Cake_s2=12
if Seved_Cake_s1 is None or Seved_Cake_s2 is None:
    print(""neutral"")
elif Seved_Cake_s1 == Seved_Cake_s2:
    print(""Entailment"")
elif Seved_Cake_s1 != Seved_Cake_s2:
    print(""contradiction"")
"
