premise,hypothesis,label,sample_index
"If Joe goes with her 6 years old twin brothers , and they each took 3 rides in total","If Joe goes with her more than 1 years old twin brothers , and they each took 3 rides in total",entailment,0
"If Joe goes with her more than 1 years old twin brothers , and they each took 3 rides in total","If Joe goes with her 6 years old twin brothers , and they each took 3 rides in total",neutral,1
"If Joe goes with her 6 years old twin brothers , and they each took 3 rides in total","If Joe goes with her less than 6 years old twin brothers , and they each took 3 rides in total",contradiction,2
"Tim has 350 pounds of cement in 100 , 50 , and 25 pound bags","Tim has less than 750 pounds of cement in 100 , 50 , and 25 pound bags",entailment,3
"Tim has less than 750 pounds of cement in 100 , 50 , and 25 pound bags","Tim has 350 pounds of cement in 100 , 50 , and 25 pound bags",neutral,4
"Tim has 350 pounds of cement in 100 , 50 , and 25 pound bags","Tim has less than 350 pounds of cement in 100 , 50 , and 25 pound bags",contradiction,5
"Renu can do a piece of work in 8 days , but with the help of her friend Suma , she can do it in 4 days","Renu can do a piece of work in more than 4 days , but with the help of her friend Suma , she can do it in 4 days",entailment,6
"Renu can do a piece of work in more than 4 days , but with the help of her friend Suma , she can do it in 4 days","Renu can do a piece of work in 8 days , but with the help of her friend Suma , she can do it in 4 days",neutral,7
"Renu can do a piece of work in 8 days , but with the help of her friend Suma , she can do it in 4 days","Renu can do a piece of work in 2 days , but with the help of her friend Suma , she can do it in 4 days",contradiction,8
John takes a trip and drives 9 hours from Town X to Town Z at a rate of 60 miles per hour,John takes a trip and drives more than 4 hours from Town X to Town Z at a rate of 60 miles per hour,entailment,9
John takes a trip and drives more than 4 hours from Town X to Town Z at a rate of 60 miles per hour,John takes a trip and drives 9 hours from Town X to Town Z at a rate of 60 miles per hour,neutral,10
John takes a trip and drives 9 hours from Town X to Town Z at a rate of 60 miles per hour,John takes a trip and drives more than 9 hours from Town X to Town Z at a rate of 60 miles per hour,contradiction,11
"On his way back , John drives 85 miles per hour and stops in Town Y which is midway between Town X and Town Z","On his way back , John drives more than 65 miles per hour and stops in Town Y which is midway between Town X and Town Z",entailment,12
"On his way back , John drives more than 65 miles per hour and stops in Town Y which is midway between Town X and Town Z","On his way back , John drives 85 miles per hour and stops in Town Y which is midway between Town X and Town Z",neutral,13
"On his way back , John drives 85 miles per hour and stops in Town Y which is midway between Town X and Town Z","On his way back , John drives more than 85 miles per hour and stops in Town Y which is midway between Town X and Town Z",contradiction,14
NHAI employs 100 men to build a highway of 2 km in 50 days working 8 hours a day,NHAI employs less than 700 men to build a highway of 2 km in 50 days working 8 hours a day,entailment,15
NHAI employs less than 700 men to build a highway of 2 km in 50 days working 8 hours a day,NHAI employs 100 men to build a highway of 2 km in 50 days working 8 hours a day,neutral,16
NHAI employs 100 men to build a highway of 2 km in 50 days working 8 hours a day,NHAI employs 400 men to build a highway of 2 km in 50 days working 8 hours a day,contradiction,17
than how many more employees should NHAI hire to finish it in time working 10 hours a day ?,than how many more employees should NHAI hire to finish it in time working less than 70 hours a day ?,entailment,18
than how many more employees should NHAI hire to finish it in time working less than 70 hours a day ?,than how many more employees should NHAI hire to finish it in time working 10 hours a day ?,neutral,19
than how many more employees should NHAI hire to finish it in time working 10 hours a day ?,than how many more employees should NHAI hire to finish it in time working more than 10 hours a day ?,contradiction,20
There are 32 stations between Ernakulam and Chennai,There are more than 22 stations between Ernakulam and Chennai,entailment,21
There are more than 22 stations between Ernakulam and Chennai,There are 32 stations between Ernakulam and Chennai,neutral,22
There are 32 stations between Ernakulam and Chennai,There are less than 32 stations between Ernakulam and Chennai,contradiction,23
How many minutes does it take Dhoni to type 64 words if he types at the rate of 16 words per minute ?,How many minutes does it take Dhoni to type less than 84 words if he types at the rate of 16 words per minute ?,entailment,24
How many minutes does it take Dhoni to type less than 84 words if he types at the rate of 16 words per minute ?,How many minutes does it take Dhoni to type 64 words if he types at the rate of 16 words per minute ?,neutral,25
How many minutes does it take Dhoni to type 64 words if he types at the rate of 16 words per minute ?,How many minutes does it take Dhoni to type 54 words if he types at the rate of 16 words per minute ?,contradiction,26
4200 from Anwar at 6 % p,less than 8200 from Anwar at 6 % p,entailment,27
less than 8200 from Anwar at 6 % p,4200 from Anwar at 6 % p,neutral,28
4200 from Anwar at 6 % p,more than 4200 from Anwar at 6 % p,contradiction,29
How many ways are there for 3 males and 3 females to sit ( around a circular table ) if no male should sit next to a male ( and no female next to female ) and Mary wants to sit with her back on the wall ?,How many ways are there for more than 2 males and 3 females to sit ( around a circular table ) if no male should sit next to a male ( and no female next to female ) and Mary wants to sit with her back on the wall ?,entailment,30
How many ways are there for more than 2 males and 3 females to sit ( around a circular table ) if no male should sit next to a male ( and no female next to female ) and Mary wants to sit with her back on the wall ?,How many ways are there for 3 males and 3 females to sit ( around a circular table ) if no male should sit next to a male ( and no female next to female ) and Mary wants to sit with her back on the wall ?,neutral,31
How many ways are there for 3 males and 3 females to sit ( around a circular table ) if no male should sit next to a male ( and no female next to female ) and Mary wants to sit with her back on the wall ?,How many ways are there for less than 3 males and 3 females to sit ( around a circular table ) if no male should sit next to a male ( and no female next to female ) and Mary wants to sit with her back on the wall ?,contradiction,32
Mr Yadav spends 60 % of his monthly salary on consumable items and 50 % of the remaining on clothes and transport,Mr Yadav spends more than 10 % of his monthly salary on consumable items and 50 % of the remaining on clothes and transport,entailment,33
Mr Yadav spends more than 10 % of his monthly salary on consumable items and 50 % of the remaining on clothes and transport,Mr Yadav spends 60 % of his monthly salary on consumable items and 50 % of the remaining on clothes and transport,neutral,34
Mr Yadav spends 60 % of his monthly salary on consumable items and 50 % of the remaining on clothes and transport,Mr Yadav spends 10 % of his monthly salary on consumable items and 50 % of the remaining on clothes and transport,contradiction,35
Louie takes out a three - month loan of $ 1000,Louie takes out a three - month loan of $ less than 6000,entailment,36
Louie takes out a three - month loan of $ less than 6000,Louie takes out a three - month loan of $ 1000,neutral,37
Louie takes out a three - month loan of $ 1000,Louie takes out a three - month loan of $ 8000,contradiction,38
A runner runs the 40 miles from Marathon to Athens at a constant speed,A runner runs the more than 20 miles from Marathon to Athens at a constant speed,entailment,39
A runner runs the more than 20 miles from Marathon to Athens at a constant speed,A runner runs the 40 miles from Marathon to Athens at a constant speed,neutral,40
A runner runs the 40 miles from Marathon to Athens at a constant speed,A runner runs the 10 miles from Marathon to Athens at a constant speed,contradiction,41
If the marks secured by Reema was written as 36 instead of 86 then find the correct average marks up to two decimal places .,If the marks secured by Reema was written as more than 16 instead of 86 then find the correct average marks up to two decimal places .,entailment,42
If the marks secured by Reema was written as more than 16 instead of 86 then find the correct average marks up to two decimal places .,If the marks secured by Reema was written as 36 instead of 86 then find the correct average marks up to two decimal places .,neutral,43
If the marks secured by Reema was written as 36 instead of 86 then find the correct average marks up to two decimal places .,If the marks secured by Reema was written as more than 36 instead of 86 then find the correct average marks up to two decimal places .,contradiction,44
"Maddie has 24 apples , if she give 12 to mike , how many does she have left ?","Maddie has less than 34 apples , if she give 12 to mike , how many does she have left ?",entailment,45
"Maddie has less than 34 apples , if she give 12 to mike , how many does she have left ?","Maddie has 24 apples , if she give 12 to mike , how many does she have left ?",neutral,46
"Maddie has 24 apples , if she give 12 to mike , how many does she have left ?","Maddie has 44 apples , if she give 12 to mike , how many does she have left ?",contradiction,47
