premise,hypothesis,label,sample_index,lila_label,lila_script
"if joe goes with her 6 years old twin brothers , and they each took 3 rides in total","if joe goes with her more than 1 years old twin brothers , and they each took 3 rides in total",entailment,0,Entailment,"joe_brother_s1 = 6
joe_brother_s2 = 1

if joe_brother_s1 is None or joe_brother_s2 is None:
   print('neutral')

elif joe_brother_s1 > joe_brother_s2:
   print('Entailment')

elif joe_brother_s1 != joe_brother_s2:
  print('contradiction')"
"if joe goes with her 6 years old twin brothers , and they each took 3 rides in total","if joe goes with her less than 6 years old twin brothers , and they each took 3 rides in total",contradiction,2,contradiction,"joe_brother_s1 = 6
joe_brother_s2 = 6-1
 
if joe_brother_s1 is None or joe_brother_s2 is None:
 print('neutral')

elif joe_brother_s1 == joe_brother_s2:
 print('Entailment')

elif joe_brother_s1 != joe_brother_s2:
 print('contradiction')"
"tim has less than 750 pounds of cement in 100 , 50 , and 25 pound bags","tim has 350 pounds of cement in 100 , 50 , and 25 pound bags",neutral,4,neutral,"cements_pounds_s1 = None
cements_pounds_s2 = 350
 
if cements_pounds_s1 is None or cements_pounds_s2 is None:
 print('neutral')

elif cements_pounds_s1 == cements_pounds_s2:
 print('Entailment')

elif cements_pounds_s1 != cements_pounds_s2:
 print('contradiction')"
"tim has 350 pounds of cement in 100 , 50 , and 25 pound bags","tim has less than 350 pounds of cement in 100 , 50 , and 25 pound bags",contradiction,5,contradiction,"quantity_of_cement_tim_has_s1 = 350
quantity_of_cement_tim_has_s2 = 0

if quantity_of_cement_tim_has_s1 is None or quantity_of_cement_tim_has_s2 is None:
   print('neutral')

elif quantity_of_cement_tim_has_s1 == quantity_of_cement_tim_has_s2:
   print('Entailment')

elif quantity_of_cement_tim_has_s1 != quantity_of_cement_tim_has_s2:
  print('contradiction')"
"renu can do a piece of work in more than 4 days , but with the help of her friend suma , she can do it in 4 days","renu can do a piece of work in 8 days , but with the help of her friend suma , she can do it in 4 days",neutral,7,neutral,"Renu_can_do_work_s1=4
Renu_can_do_work_s1=None
Renu_can_do_work_s2=8
if Renu_can_do_work_s1 is None or Renu_can_do_work_s2 is None:
   print('neutral')
elif Renu_can_do_work_s1 == Renu_can_do_work_s2:
   print('Entailment')
elif Renu_can_do_work_s1 != Renu_can_do_work_s2:
   print('contradiction')
"
"renu can do a piece of work in 8 days , but with the help of her friend suma , she can do it in 4 days","renu can do a piece of work in 2 days , but with the help of her friend suma , she can do it in 4 days",contradiction,8,contradiction,"renu_can_do_piece_of_work_s1 = 8
renu_can_do_piece_of_work_s2 = 2

if renu_can_do_piece_of_work_s1 is None or renu_can_do_piece_of_work_s2 is None:
    print(""Neutral"")
elif renu_can_do_piece_of_work_s1 == renu_can_do_piece_of_work_s2:
    print(""Entailment"")
elif renu_can_do_piece_of_work_s1 != renu_can_do_piece_of_work_s2:
    print(""Contradiction"")"
john takes a trip and drives 9 hours from town x to town z at a rate of 60 miles per hour,john takes a trip and drives more than 4 hours from town x to town z at a rate of 60 miles per hour,entailment,9,Entailment,"John_drives_s1 = 9
John_drives_s2 = 4

if John_drives_s1 is None or John_drives_s2 is None:
   print('neutral')

elif John_drives_s1 >= John_drives_s2:
   print('Entailment')

elif John_drives_s1 != John_drives_s2:
  print('contradiction')"
john takes a trip and drives 9 hours from town x to town z at a rate of 60 miles per hour,john takes a trip and drives more than 9 hours from town x to town z at a rate of 60 miles per hour,contradiction,11,contradiction,"Jhon_trip_s1=9
Jhon_trip_s2=9+1
if Jhon_trip_s1 is None or Jhon_trip_s2 is None:
   print('neutral')
elif Jhon_trip_s1 == Jhon_trip_s2:
   print('Entailment')
elif Jhon_trip_s1 != Jhon_trip_s2:
   print('contradiction')








"
"on his way back , john drives 85 miles per hour and stops in town y which is midway between town x and town z","on his way back , john drives more than 65 miles per hour and stops in town y which is midway between town x and town z",entailment,12,Entailment,"john_drives_s1 = 85
john_drives_s2 = 65
 
if john_drives_s1 is None or john_drives_s2 is None:
 print('neutral')

elif john_drives_s1 > john_drives_s2:
 print('Entailment')

elif john_drives_s1 != john_drives_s2:
 print('contradiction')"
"on his way back , john drives more than 65 miles per hour and stops in town y which is midway between town x and town z","on his way back , john drives 85 miles per hour and stops in town y which is midway between town x and town z",neutral,13,neutral,"john_drives_s1 = None
john_drives_s2 = 85
 
if john_drives_s1 is None or john_drives_s2 is None:
 print('neutral')

elif john_drives_s1 == john_drives_s2:
 print('Entailment')

elif john_drives_s1 != john_drives_s2:
 print('contradiction')"
"on his way back , john drives 85 miles per hour and stops in town y which is midway between town x and town z","on his way back , john drives more than 85 miles per hour and stops in town y which is midway between town x and town z",contradiction,14,contradiction,"john_drives_s1 = 85
john_drives_s2 = 85 + 1
 
if john_drives_s1 is None or john_drives_s2 is None:
 print('neutral')

elif john_drives_s1 == john_drives_s2:
 print('Entailment')

elif john_drives_s1 != john_drives_s2:
 print('contradiction')"
