premise,hypothesis,lila_label,lila_script
Rahim bought 27 books for Rs.,Rahim bought less than 27 books for Rs.,contradiction,"rahim_books_s1 = 27
rahim_books_s2 = 27-1
 
if rahim_books_s1 is None or rahim_books_s2 is None:
 print('neutral')

elif rahim_books_s1 == rahim_books_s2:
 print('Entailment')

elif rahim_books_s1 != rahim_books_s2:
 print('contradiction')"
Sakshi can do a piece of work in less than 32 days.,Sakshi can do a piece of work in 12 days.,neutral,"piece_of_work_s1 = None
piece_of_work_s2 = 12

if piece_of_work_s1 is None or piece_of_work_s2 is None:
   print('neutral')

elif piece_of_work_s1 == piece_of_work_s2:
   print('Entailment')

elif piece_of_work_s1 != piece_of_work_s2:
  print('contradiction')
"
"Martin bought 10 concert tickets, some at the full price of $2.00 per ticket, and some at a discounted price of $1.60 per ticket.","Martin bought 60 concert tickets, some at the full price of $2.00 per ticket, and some at a discounted price of $1.60 per ticket.",contradiction,"concert_tickets_s1 = 10
concert_tickets_s2 = 60

if concert_tickets_s1 is None or concert_tickets_s2 is None:
   print('neutral')

elif concert_tickets_s1 == concert_tickets_s2:
   print('Entailment')

elif concert_tickets_s1 != concert_tickets_s2:
  print('contradiction')

"
The product of all the possible units digits of Sophie Germain primes greater than 3 is.,The product of all the possible units digits of Sophie Germain primes greater than more than 1 is.,Entailment,"product_of_possible_units_s1 = 3
product_of_possible_units_s2 = 1

if product_of_possible_units_s1 is None or product_of_possible_units_s2 is None:
   print('neutral')

elif product_of_possible_units_s1 > product_of_possible_units_s2:
   print('Entailment')

elif product_of_possible_units_s1 != product_of_possible_units_s2:
  print('contradiction')
"
"Rapiro also has 12'' servo motors,'' which help it with mobility.","It has 12 `servo motors,'which increase its capacity for movement.",Entailment,"total_motors_s1 = 12
total_motors_s2 = 12

if total_motors_s1 is None or total_motors_s2 is None:
   print('neutral')

elif total_motors_s1 == total_motors_s2:
   print('Entailment')

elif total_motors_s1 != total_motors_s2:
  print('contradiction')
"
Meg and Bob are among the more than 3 participants in a cycling race.,Meg and Bob are among the 6 participants in a cycling race.,neutral,"participants_in_cycling_race_s1 = None
participants_in_cycling_race_s2 = 6

if participants_in_cycling_race_s1 is None or participants_in_cycling_race_s2 is None:
   print('neutral')

elif participants_in_cycling_race_s1 == participants_in_cycling_race_s2:
   print('Entailment')

elif participants_in_cycling_race_s1 != participants_in_cycling_race_s2:
  print('contradiction')
"
"If Albert’s monthly earnings rise by 30 %, he would earn $598.","If Albert’s monthly earnings rise by less than 40 %, he would earn $598.",Entailment,"raise_albert_gets_s1 = 30
raise_albert_gets_s2 = 40

if raise_albert_gets_s1 is None or raise_albert_gets_s2 is None:
   print('neutral')

elif raise_albert_gets_s1 < raise_albert_gets_s2:
   print('Entailment')

elif raise_albert_gets_s1 != raise_albert_gets_s2:
  print('contradiction')

"
Jerry’s average (arithmetic mean) score on the first less than 8 of 4 tests is 81.,Jerry’s average (arithmetic mean) score on the first 3 of 4 tests is 81.,neutral,"average_score_s1 = None
average_score_s2 = 3/4

if average_score_s1 is None or average_score_s2 is None:
   print('neutral')

elif average_score_s1 == average_score_s2:
   print('Entailment')

elif average_score_s1 != average_score_s2:
  print('contradiction')
"
"If the next three flights departed on-time, how many subsequent flights need to depart from Phoenix on-time, for the airport's on-time departure rate to be higher than more than 40%? I will see what is the quickest way to solve it then I will provide the explanation.","If the next three flights departed on-time, how many subsequent flights need to depart from Phoenix on-time, for the airport's on-time departure rate to be higher than 70%? I will see what is the quickest way to solve it then I will provide the explanation.",neutral,"departure_rate_s1 = None
departure_rate_s2 = 70

if departure_rate_s1 is None or departure_rate_s2 is None:
   print('neutral')

elif departure_rate_s1 == departure_rate_s2:
   print('Entailment')

elif departure_rate_s1 != departure_rate_s2:
  print('contradiction')
"
"The ratio between the number of sheep and the number of horses at the Stewart farm is 5 to 7, If each horse is fed 230 ounces of horse food per day and the farm needs a total 12,880 ounces of horse food per day, what is the number of sheep in the farm?","The ratio between the number of sheep and the number of horses at the Stewart farm is less than 7 to 7, If each horse is fed 230 ounces of horse food per day and the farm needs a total 12,880 ounces of horse food per day, what is the number of sheep in the farm?",Entailment,"ration_horse_sheep_s1 = 5/7
ration_horse_sheep_s2 = 7/7

if ration_horse_sheep_s1 is None or ration_horse_sheep_s2 is None:
   print('neutral')

elif ration_horse_sheep_s1 < ration_horse_sheep_s2:
   print('Entailment')

elif ration_horse_sheep_s1 != ration_horse_sheep_s2:
  print('contradiction')
"
