premise,hypothesis,label,sample_index,lila_label,lila_script
in 1956 accardo won the geneva competition and in 1958 became the first prize winner of the paganini competition in genoa . he has recorded paganini 's famous 24 caprices ( re-recorded in 1999 ) for solo violin and was the first to record all six of the paganini violin concertos .,accardo composed 24 caprices .,neutral,0,neutral,"caprices_s1 = 24
caprices_s2 = None

if caprices_s1 is None or caprices_s2 is None:
   print('neutral')

elif caprices_s1 == caprices_s2:
   print('Entailment')"
"david golinkin is the editor or author of eighteen books , and over 150 responsa , articles , sermons and books .",golinkin has written eighteen books .,neutral,1,neutral,"david_golinin_s1=150
golinkin_written_s2=None
if david_golinin_s1 is None or golinkin_written_s2 is None:
   print('neutral')
elif david_golinin_s1 == golinkin_written_s2:
   print('Entailment')
elif david_golinin_s1 != golinkin_written_s2:
   print('contradiction')
"
"during reinsdorf 's 24 seasons as chairman of the white sox , the team has captured american league division championships three times , including an al central title in 2000 .",the white sox have won 24 championships .,neutral,4,neutral,"american_leauge_won_in_s1 = 3
american_leauge_won_in_s2 = None

if american_leauge_won_in_s1 is None or american_leauge_won_in_s2 is None:
    print(""neutral"")
elif american_leauge_won_in_s1 == american_leauge_won_in_s2:
    print(""Entailment"")
elif american_leauge_won_in_s1 != american_leauge_won_in_s2:
    print(""contradiction"")"
"the first windows challenge was held in 2004 , consisting of less than 30 teams within the united states . in 2005 , it was opened to the rest of the world . 278 teams from all over the world participated .",278 teams from all over the world participated in the first windows challenge .,neutral,7,neutral,"windows_challenge_s1 = 2004
windows_challenge_s2 = None
 
if windows_challenge_s1 is None or windows_challenge_s2 is None:
 print('neutral')

elif windows_challenge_s1 == windows_challenge_s2:
 print('Entailment')

elif windows_challenge_s1 != windows_challenge_s2:
 print('contradiction')"
"human rights groups say police detained some 2,500 people after the attack on the hilton hotel in taba and mistreated many of them .","some 2,500 people have been arrested after the attack on the hilton hotel in taba .",entailment,8,Entailment,"attackers_arrested_s1 = 2500
attackers_arrested_s2 = 2500

if attackers_arrested_s1 is None or attackers_arrested_s2 is None:
   print('neutral')

elif attackers_arrested_s1 == attackers_arrested_s2:
   print('Entailment')

elif attackers_arrested_s1 != attackers_arrested_s2:
  print('contradiction')"
rival generic drug maker mylan laboratories inc. reported revenue of $ 1.3 billion for fiscal 2005 .,mylan laboratories inc. earned $ 1.3 billion in fiscal year 2005 .,entailment,9,Entailment,"revenue_billions_s1 = 1.3
revenue_billions_s2 = 1.3
 
if revenue_billions_s1 is None or revenue_billions_s2 is None:
 print('neutral')

elif revenue_billions_s1 == revenue_billions_s2:
 print('Entailment')

elif revenue_billions_s1 != revenue_billions_s2:
 print('contradiction')"
"after the deal closes , teva will generate sales of about $ 7 billion a year , the company said .",teva earns $ 7 billion a year .,neutral,10,neutral,"genrated_sales_s1 = 0
genrated_sales_s2 = 52

genrated_sales_s1 = None
genrated_sales_s2 = None

if genrated_sales_s1 is None or genrated_sales_s2 is None:
   print(""Neutral"")
elif genrated_sales_s1  < genrated_sales_s2 :
  print(""Entailment"")
elif genrated_sales_s1 != genrated_sales_s2 :
  print(""Contradiction"")"
"india 's yearly pilgrimage to the ganges river , worshiped by hindus as the goddess ganga , is the worlds largest gathering of people , with around 70 million participants , dwarfing other religious pilgrimages .",around 70 million people participate in pilgrimage to the ganges river .,entailment,12,Entailment,"Poeple_in_goddess_ganga_s1=70
Pilgarimage_to_ganga_river_s2=70
if Poeple_in_goddess_ganga_s1 is None or Pilgarimage_to_ganga_river_s2 is None:
   print('neutral')
elif Poeple_in_goddess_ganga_s1 == Pilgarimage_to_ganga_river_s2:
   print('Entailment')
elif Poeple_in_goddess_ganga_s1 != Pilgarimage_to_ganga_river_s2:
   print('contradiction')
"
"the same storm has caused more than 125,000 people to lose power near st. louis , missouri and power officials say that they are `` still losing people , '' said springfield 's city utilities spokesman , ern decamp .","125,000 were killed by a storm .",neutral,14,neutral,"killed_by_storm_s1 = 0
killed_by_storm_s1 > 125000
killed_by_storm_s2 = 125000

killed_by_storm_s1 = None
killed_by_storm_s2 = None

if killed_by_storm_s1 is None or killed_by_storm_s2 is None:
   print(""Neutral"")
elif killed_by_storm_s1 < killed_by_storm_s2:
  print(""Entailment"")
elif killed_by_storm_s1 != killed_by_storm_s2:
  print(""Contradiction"")"
there are no reports so far as to whether any relatives have claimed the bodies of the four military men who were reportedly killed when the plane crashed .,four military men died in a plane crash .,entailment,16,Entailment,"military_man_dead_in_s1 = 4
military_man_dead_in_s2 = 4

if military_man_dead_in_s1 is None or military_man_dead_in_s2 is None:
    print(""neutral"")
elif (military_man_dead_in_s1 == military_man_dead_in_s2):
    print(""Entailment"")
elif military_man_dead_in_s1 != military_man_dead_in_s2:
    print(""contradiction"")"
