sample_index,premise,hypothesis,golden_label,reference_label,completion
5200,Dana borrows more than 1000 pounds annually for her college education.,Dana borrows 4000 pounds annually for her college education.,neutral,neutral,"annual_loan_premise = 1000
annual_loan_hypothesis = 4000

# the hypothesis presents a specific number for Dana's annual loan, which is also mentioned in the premise
if annual_loan_hypothesis <= annual_loan_premise:
    # check if the hypothesis value contradicts the premise which mentions more than 'annual_loan_premise'
    label = ""contradiction""
else:
    # the premise only states an estimate for the annual loan
    # any number greater than 'annual_loan_premise' is not in conflict with the premise, but it can't be fully entailed from it either
    label = ""neutral""

print(label)
"
1620,"After 6 years, Arun's age will be 26 years.","After more than 5 years, Arun's age will be 26 years.",entailment,entailment,"years_future_premise = 6
years_future_hypothesis = 5
age_future_premise = 26
age_future_hypothesis = 26

# the hypothesis refers to the age of Arun after a number of years, mentioned in the premise
if years_future_hypothesis >= years_future_premise:
    # check if the number of years in the hypothesis contradicts the number of years in the premise
    label = ""contradiction""
elif age_future_hypothesis != age_future_premise:
    # check if the age in the hypothesis contradicts the age in the premise
    label = ""contradiction""
else:
    # if the hypothesis values do not contradict the premise ones, we can infer entailment
    label = ""entailment""

print(label)
"
5563,"If Albert’s monthly earnings rise by less than 87 %, he would earn $567.","If Albert’s monthly earnings rise by 27 %, he would earn $567.",neutral,neutral,"earnings_increase_premise = 87
earnings_increase_hypothesis = 27
earnings_premise = 567
earnings_hypothesis = 567

# the hypothesis talks about Albert’s monthly earnings, referenced also in the premise
if earnings_increase_hypothesis >= earnings_increase_premise:
    # check if the hypothesis value contradicts the estimate of less than 'earnings_increase_premise'
    label = ""contradiction""
elif earnings_hypothesis != earnings_premise:
    # check if the earnings value in the hypothesis contradicts the earnings value reported in the premise
    label = ""contradiction""
else:
    # the premise gives only an estimate for the percentage increase of earnings
    # any percentage increase less than 'earnings_increase_premise' is consistent with the premise, but cannot be explicitly entailed from the premise
    label = ""neutral""

print(label)
"
400,Carina has more than 30 ounces of coffee divided into 5-and 10-ounce packages.,Carina has 70 ounces of coffee divided into 5-and 10-ounce packages.,neutral,neutral,"coffee_ounces_premise = 30
coffee_ounces_hypothesis = 70

# the hypothesis refers to the amount of coffee owned by Carina mentioned in the premise
if coffee_ounces_hypothesis <= coffee_ounces_premise:
    # check if the value of 'coffee_ounces_hypothesis' contradicts the estimate of more than 'coffee_ounces_premise'
    label = ""contradiction""
else:
    # the premise gives only an estimate for the amount of coffee
    # any amount of coffee greater than 'coffee_ounces_premise' is consistent with the premise, but cannot be explicitly entailed from the premise
    label = ""neutral""

print(label)
"
2825,Caleb spends $66.50 on 50 hamburgers for the marching band.,Caleb spends $66.50 on 80 hamburgers for the marching band.,contradiction,contradiction,"spend_on_hamburgers_premise = 66.50
hamburgers_premise = 50
spend_on_hamburgers_hypothesis = 66.50
hamburgers_hypothesis = 80

# the hypothesis refers to the number of hamburgers bought by Caleb and the money spent, mentioned in the premise
if hamburgers_hypothesis != hamburgers_premise:
    # check if the number of hamburgers in the hypothesis contradicts the number of hamburgers reported in the premise
    label = ""contradiction""
elif spend_on_hamburgers_hypothesis != spend_on_hamburgers_premise:
    # check if the money spent on hamburgers in the hypothesis contradicts the money spent on hamburgers reported in the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise ones, we can infer entailment
    label = ""entailment""

print(label)
"
3529,Raman mixed less than 84 kg of butter at Rs.,Raman mixed 24 kg of butter at Rs.,neutral,neutral,"butter_kg_premise = 84
butter_kg_hypothesis = 24

# the hypothesis talks about the amount of butter Raman mixed, which is also mentioned in the premise
if butter_kg_hypothesis >= butter_kg_premise:
    # check if the hypothesis value contradicts the estimate of less than 'butter_kg_premise'
    label = ""contradiction""
else:
    # the premise gives only an estimate for the amount of butter
    # any amount of butter less than 'butter_kg_premise' is consistent with the premise, but cannot be explicitly entailed from the premise
    label = ""neutral""

print(label)
"
4732,The ratio of men to women in the Snyder community choir is more than 3 to 5.,The ratio of men to women in the Snyder community choir is 6 to 5.,neutral,neutral,"men_women_ratio_premise = 3 / 5
men_women_ratio_hypothesis = 6 / 5

# the hypothesis refers to the ratio of men to women in the choir, which is also mentioned in the premise
if men_women_ratio_hypothesis <= men_women_ratio_premise:
    # check if the hypothesis ratio contradicts the premise saying the ratio is more than 'men_women_ratio_premise'
    label = ""contradiction""
else:
    # the premise gives an estimate for the ratio
    # any ratio greater than 'men_women_ratio_premise' is consistent with the premise, but cannot be explicitly entailed from the premise
    label = ""neutral""

print(label)
"
600,"If Yolanda's walking rate was 3 miles per hour and Bob т's was 4 miles per hour, how many miles had Bob walked when they met?","If Yolanda's walking rate was less than 7 miles per hour and Bob т's was 4 miles per hour, how many miles had Bob walked when they met?",entailment,entailment,"yolandas_rate_premise = 3
yolandas_rate_hypothesis = 7
bobs_rate_premise = 4
bobs_rate_hypothesis = 4

# the hypothesis refers to the walking rates of Yolanda and Bob mentioned in the premise
if yolandas_rate_hypothesis <= yolandas_rate_premise:
    # check if 'yolandas_rate_hypothesis' contradicts Yolanda's walking rate in the premise
    label = ""contradiction""
elif bobs_rate_hypothesis != bobs_rate_premise:
    # check if Bob's walking rate in the hypothesis contradicts his walking rate in the premise
    label = ""contradiction""
else:
    # if the hypothesis values do not contradict the premise ones, we can infer entailment
    label = ""entailment""

print(label)
"
2218,"In a friendship gang Andrew has more than 1 gang, in how many ways can he invite one or more of the gang to his house?","In a friendship gang Andrew has 8 gang, in how many ways can he invite one or more of the gang to his house?",neutral,neutral,"gangs_premise = 1
gangs_hypothesis = 8

# the hypothesis provides a specific number of gangs Andrew has, which is also referenced in the premise
if gangs_hypothesis <= gangs_premise:
    # check if the number of gangs in the hypothesis contradicts the premise estimate of more than 'gangs_premise'
    label = ""contradiction""
else:
    # the premise gives only an estimate for the number of gangs
    # any number of gangs greater than 'gangs_premise' is consistent with the premise, but cannot be explicitly entailed from the premise
    label = ""neutral""

print(label)
"
3364,Patrick purchased more than 50 pencils and sold them at a loss equal to the selling price of 16 pencils.,Patrick purchased 80 pencils and sold them at a loss equal to the selling price of 16 pencils.,neutral,neutral,"pencils_purchased_premise = 50
pencils_purchased_hypothesis = 80
pencils_loss_premise = 16
pencils_loss_hypothesis = 16

# the hypothesis refers to the number of purchased pencils and the loss of pencils mentioned in the premise
if pencils_purchased_hypothesis <= pencils_purchased_premise:
    # check if the hypothesis value contradicts the estimate of more than 'pencils_purchased_premise'
    label = ""contradiction""
elif pencils_loss_hypothesis != pencils_loss_premise:
    # check if the number of loss in the hypothesis contradicts the number of loss reported in the premise
    label = ""contradiction""
else:
    # the premise gives only an estimate for the number of purchased pencils
    # any number of purchased pencils greater than 'pencils_purchased_premise' is consistent with the premise, but cannot be explicitly entailed from the premise
    label = ""neutral""

print(label)
"
