premise,hypothesis,label,sample_index,lila_label,lila_script
lepore said he was moved to photograph the slumbering sentries after witnessing the same guard napping on three occasions .,joey lepore says he took photos of one guard sleeping at post three times,entailment,0,Entailment,"Guard_napping_s1=3
Guard_sleeping_s2=3 
if Guard_napping_s1 is None or Guard_sleeping_s2 is None:
   print('neutral')
elif Guard_napping_s1 == Guard_sleeping_s2:
   print('Entailment')
elif Guard_napping_s1 != Guard_sleeping_s2:
   print('contradiction')
"
i am the single mother of three sons -- grown to manhood and doing just fine .,"weldon says she 's a single mom of three flourishing young men , productive and happy",entailment,2,Entailment,"sons_s1 = 3
sons_s2 = 3
 
if sons_s1 is None or sons_s2 is None:
 print('neutral')

elif sons_s1 == sons_s2:
 print('Entailment')

elif sons_s1 != sons_s2:
 print('contradiction')"
"in addition to 79 fatalities , some 170 passengers were injured .",the crash took the lives of 79 people and injured some 170,entailment,3,Entailment,"injured_passeners_s1=170
injured_passeners_s2=170

if injured_passeners_s1 is None or injured_passeners_s2 is None:
   print('neutral')
elif injured_passeners_s1 == injured_passeners_s2:
   print('Entailment')
elif injured_passeners_s1 != injured_passeners_s2:
   print('contradiction')



"
treacherous currents took at least four lives on the alabama gulf coast and led florida officials to shut down a popular beach .,"rip currents kill four in alabama , close beaches in florida",entailment,4,Entailment,"life_taken_on_alabama_beach_s1 = 0
life_taken_on_alabama_beach_s1 > 4
life_taken_on_alabama_beach_s1 = 4

if life_taken_on_alabama_beach_s1 is None or life_taken_on_alabama_beach_s1 is None:
    print(""Neutral"")
elif life_taken_on_alabama_beach_s1 < life_taken_on_alabama_beach_s1 :
    print(""Entailment"")
elif life_taken_on_alabama_beach_s1 != life_taken_on_alabama_beach_s1 :
    print(""Contradiction"")"
( cnn ) two men have been charged with plotting attacks in australia following a major counter-terrorism operation in sydney .,"two men charged with '' acts done in preparation for , or planning terrorist acts ''",entailment,5,Entailment,"men_charged_s1 = 2
men_charged_s2 = 2

if men_charged_s1 is None or men_charged_s2 is None:
   print('neutral')

elif men_charged_s1 == men_charged_s2:
   print('Entailment')

elif men_charged_s1 != men_charged_s2:
  print('contradiction')
"
"authorities seize 6,700 pounds of marijuana","she said 6,700 pounds of marijuana had been seized .",entailment,8,Entailment,"marijuana_pounds_s1 = 6700
marijuana_pounds_s2 = 6700

if marijuana_pounds_s1 is None or marijuana_pounds_s2 is None:
   print('neutral')

elif marijuana_pounds_s1 == marijuana_pounds_s2:
   print('Entailment')

elif marijuana_pounds_s1 != marijuana_pounds_s2:
  print('contradiction')"
eight suspects were arrested .,8 suspects have been arrested,entailment,9,Entailment,"suspects_arrested_s1 = 8
suspects_arrested_s2 = 8
 
if suspects_arrested_s1 is None or suspects_arrested_s2 is None:
 print('neutral')

elif suspects_arrested_s1 == suspects_arrested_s2:
 print('Entailment')

elif suspects_arrested_s1 != suspects_arrested_s2:
 print('contradiction')"
"a billion is a thousand million , and a trillion is a thousand billion .","one billion is equal to 1,000 million ; one trillion is equal to 1,000 billion",entailment,10,Entailment,"one_billion_s1 = 1000
one_billion_s2 = 1000
    
if one_billion_s1 is None or one_billion_s2 is None:
   print('neutral')

elif one_billion_s1 == one_billion_s2:
   print('Entailment')

elif one_billion_s1 != one_billion_s2:
  print('contradiction')"
lincoln 's two greatest legacies -- indivisible union and irreversible emancipation -- grew organically from his midwestern roots .,"akhil amar : lincoln 's two biggest legacies , keeping union together and abolishing slavery , had midwestern roots",entailment,12,Entailment,"legacies_s1 = 2
legacies_s2 = 2
 
if legacies_s1 is None or legacies_s2 is None:
 print('neutral')

elif legacies_s1 == legacies_s2:
 print('Entailment')

elif legacies_s1 != legacies_s2:
 print('contradiction')"
team captain butt said pakistan gave 100 percent throughout a match .,"everyone on the team gave '' 100 percent , '' captain salman butt says",entailment,13,Entailment,"pakistan_gave_s1 = 100
pakistan_gave_s2 = 100

if pakistan_gave_s1 is None or pakistan_gave_s2 is None:
   print('neutral')

elif pakistan_gave_s1 == pakistan_gave_s2:
   print('Entailment')

elif pakistan_gave_s1 != pakistan_gave_s2:
  print('contradiction')"
sotomayor was easily confirmed in a 68-31 vote .,sonia sotomayor wins confirmation by 68-31 vote,entailment,14,Entailment,"sotomayor_vote_s1 = 68/31
sotomayor_vote_s2 = 68/31

if sotomayor_vote_s1 is None or sotomayor_vote_s2 is None:
   print('neutral')

elif sotomayor_vote_s1 == sotomayor_vote_s2:
   print('Entailment')

elif sotomayor_vote_s1 != sotomayor_vote_s2:
  print('contradiction')"
"a customer 's late arrival cost her an additional $ 1,116 for her car rental .","she was charged an additional $ 1,116 for the rental because of the late pick up",entailment,17,Entailment,"additional_car_rental_s1 = 1116
additional_car_rental_s2 = 1116

if additional_car_rental_s1 is None or additional_car_rental_s2 is None:
   print('neutral')

elif additional_car_rental_s1 == additional_car_rental_s2:
   print('Entailment')

elif additional_car_rental_s1 != additional_car_rental_s2:
  print('contradiction')"
"kimball narrowed that number down to slightly more than 200 potential jurors , according to the salt lake tribune newspaper .",report : jury pool narrowed down to about 200,entailment,19,Entailment,"potential_jurors_s1 = 200
potential_jurors_s2 = 200
 
if potential_jurors_s1 is None or potential_jurors_s2 is None:
 print('neutral')

elif potential_jurors_s1 == potential_jurors_s2:
 print('Entailment')

elif potential_jurors_s1 != potential_jurors_s2:
 print('contradiction')"
"328 lee slattery , who held a two-stroke lead as he seeks his first european tour title .",fellow englishman lee slattery leads by two strokes seeking first title,entailment,21,Entailment,"strokes_leads_s1 = 2
strokes_leads_s2 = 2

if strokes_leads_s1 is None or strokes_leads_s2 is None:
   print('neutral')

elif strokes_leads_s1 == strokes_leads_s2:
   print('Entailment')

elif strokes_leads_s1 != strokes_leads_s2:
  print('contradiction')"
"poll : obama over 50 % in florida , ohio and pennsylvania",a new poll shows obama ahead in ohio and two other battleground states,entailment,22,Entailment,"Poll_obama_s1=50
Poll_obama_s2=50
if Poll_obama_s1 is None or Poll_obama_s2 is None:
   print('neutral')
elif Poll_obama_s1 == Poll_obama_s2:
   print('Entailment')
elif Poll_obama_s1 != Poll_obama_s2:
   print('contradiction')"
"eleven individuals and eight policemen were injured , two seriously , the official algerie presse service reported .","11 individuals , 8 police injured , algeria 's official news agency reports",entailment,23,Entailment,"people_injured_s1 = 11+8
people_injured_s2 = 11+8
    
if people_injured_s1 is None or people_injured_s2 is None:
   print('neutral')

elif people_injured_s1 == people_injured_s2:
   print('Entailment')

elif people_injured_s1 != people_injured_s2:
  print('contradiction')"
