sample_index,label,error_message,golden_label
89,entailment,,neutral
108,entailment,,entailment
118,neutral,,entailment
149,entailment,,entailment
99,entailment,,entailment
6,neutral,,entailment
138,entailment,,entailment
128,entailment,,entailment
2,entailment,,entailment
139,entailment,,entailment
129,entailment,,neutral
3,entailment,,entailment
88,entailment,,entailment
109,entailment,,entailment
119,entailment,,entailment
148,entailment,,entailment
98,neutral,,entailment
7,entailment,,entailment
136,entailment,,neutral
102,entailment,,entailment
15,entailment,,entailment
44,neutral,,entailment
70,entailment,,entailment
21,entailment,,entailment
83,entailment,,neutral
93,entailment,,entailment
31,entailment,,entailment
60,entailment,,entailment
54,entailment,,neutral
112,entailment,,entailment
143,entailment,,neutral
126,entailment,,entailment
106,neutral,,entailment
132,entailment,,entailment
25,entailment,,entailment
74,entailment,,entailment
87,neutral,,neutral
40,entailment,,entailment
11,entailment,,entailment
8,entailment,,entailment
50,entailment,,entailment
97,entailment,,entailment
64,neutral,,entailment
35,neutral,,entailment
122,entailment,,entailment
147,entailment,,entailment
116,neutral,,entailment
107,entailment,,entailment
133,entailment,,entailment
24,neutral,,entailment
75,neutral,,entailment
86,neutral,,entailment
41,entailment,,entailment
10,entailment,,entailment
9,entailment,,entailment
51,entailment,,entailment
96,neutral,,entailment
65,entailment,,entailment
34,entailment,,entailment
123,neutral,,entailment
146,entailment,,entailment
117,entailment,,neutral
137,entailment,,entailment
103,neutral,,entailment
14,entailment,,entailment
45,neutral,,entailment
71,entailment,,entailment
20,neutral,,entailment
82,entailment,,entailment
92,entailment,,entailment
30,entailment,,entailment
61,entailment,,entailment
55,neutral,,neutral
113,entailment,,entailment
142,entailment,,entailment
127,entailment,,entailment
104,entailment,,entailment
130,entailment,,entailment
85,entailment,,neutral
76,entailment,,entailment
27,entailment,,entailment
13,entailment,,entailment
42,entailment,,entailment
52,entailment,,entailment
37,entailment,,entailment
66,neutral,,entailment
95,entailment,,entailment
120,neutral,,neutral
114,entailment,,entailment
145,entailment,,entailment
134,entailment,,entailment
100,entailment,,neutral
46,entailment,,entailment
17,entailment,,entailment
81,entailment,,entailment
23,entailment,,entailment
72,entailment,,entailment
62,neutral,,entailment
33,entailment,,entailment
91,entailment,,neutral
56,neutral,,entailment
141,entailment,,entailment
110,entailment,,entailment
124,entailment,,entailment
135,entailment,,entailment
101,entailment,,entailment
47,entailment,,entailment
16,entailment,,entailment
80,neutral,,entailment
22,neutral,,entailment
73,entailment,,entailment
63,entailment,,entailment
32,entailment,,entailment
90,entailment,,entailment
57,entailment,,entailment
140,neutral,,entailment
111,neutral,,entailment
125,entailment,,entailment
105,entailment,,entailment
131,neutral,,entailment
84,entailment,,entailment
77,entailment,,entailment
26,entailment,,entailment
12,entailment,,entailment
43,entailment,,neutral
53,neutral,,entailment
36,entailment,,entailment
67,neutral,,entailment
94,entailment,,entailment
121,entailment,,entailment
115,entailment,,entailment
144,entailment,,entailment
19,entailment,,entailment
48,entailment,,neutral
0,entailment,,entailment
58,entailment,,entailment
29,entailment,,entailment
78,entailment,,entailment
68,neutral,,entailment
39,entailment,,entailment
4,entailment,,entailment
28,entailment,,entailment
79,neutral,,entailment
69,entailment,,entailment
38,entailment,,entailment
5,neutral,,entailment
18,neutral,,neutral
49,entailment,,entailment
1,entailment,,entailment
59,neutral,,entailment
435,entailment,,entailment
464,entailment,,entailment
497,entailment,,neutral
450,entailment,,entailment
401,entailment,,entailment
388,entailment,,entailment
159,entailment,,entailment
299,entailment,,entailment
289,entailment,,entailment
398,entailment,,entailment
411,entailment,,entailment
440,entailment,,entailment
487,neutral,,entailment
474,neutral,,entailment
425,entailment,,entailment
405,entailment,,entailment
454,entailment,,entailment
460,entailment,,entailment
431,entailment,,entailment
493,neutral,,neutral
169,entailment,,entailment
179,entailment,,entailment
483,entailment,,entailment
421,entailment,,entailment
470,entailment,,entailment
444,entailment,,entailment
415,entailment,,entailment
404,entailment,,entailment
455,entailment,,entailment
461,entailment,,entailment
430,entailment,,entailment
492,entailment,,entailment
168,entailment,,entailment
178,neutral,,entailment
482,entailment,,neutral
420,entailment,,entailment
